,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx
965,1556,1750,41,32,4,100,8,52,15,54,167769.8625,8040.7421875,-0.15081769227981567,484436508672.0,631832838144.0
966,7912,3840,192,29,3,3485,90,32,57,56,122806.825,4911.77421875,-0.6189627647399902,2487493853184.0,950138568704.0
967,4530,2579,43,262,2,7201,39,53,47,27,142311.975,6913.5859375,-0.386344850063324,1271434969088.0,868165287936.0
968,433,2528,27,62,3,7487,6,33,31,62,197338.15,7908.7234375,-0.18170015513896942,486742425600.0,533310767104.0
969,6517,2387,31,15,0,741,8,21,59,14,247207.25,8951.4859375,-0.22066542506217957,1320231108608.0,295290699776.0
970,6009,2436,124,13,2,2975,7,51,24,39,164196.35,7807.4765625,-0.250736802816391,1789454712832.0,452810571776.0
971,77,349,51,0,4,709,24,58,62,0,147011.8,7518.35625,-0.21683213114738464,300388450304.0,690926583808.0
972,8307,224,252,154,3,5403,63,56,61,31,113965.9,5729.293359375,-0.5002278089523315,2933423865856.0,944552673280.0
973,7028,3608,403,54,4,4765,100,86,7,3,62455.85625,4656.598046875,-0.6605107188224792,3460620877824.0,1118426234880.0
974,7932,322,19,30,3,4890,3,18,2,31,212613.25,7558.4046875,-0.23574115335941315,1656469716992.0,340253671424.0
975,982,3804,88,46,6,669,96,34,11,0,128876.45,5233.994921875,-0.6113840937614441,645911674880.0,1083285110784.0
976,8540,1909,65,10,3,2904,22,80,38,49,102447.8625,6940.775,-0.324298232793808,1925381095424.0,660672217088.0
977,7803,3941,27,1,2,472,36,21,0,1,189342.175,6894.70625,-0.37873926758766174,1513804660736.0,451536945152.0
978,3590,3811,16,23,27,589,100,45,23,13,108342.15,4873.50703125,-0.6505839228630066,728353931264.0,1790981439488.0
979,1020,3804,504,0,2,2014,27,26,5,2,200609.4125,7587.3703125,-0.3040042221546173,2831511977984.0,447301287936.0
980,7154,1634,1542,2,1,355,11,58,56,6,156775.075,8028.1140625,-0.26636841893196106,9153360691200.0,433980735488.0
981,8042,1572,99,23,3,316,40,82,52,26,92371.0625,6448.35234375,-0.39881277084350586,1918359175168.0,766419533824.0
982,7862,285,1019,0,2,7478,51,1,28,33,201772.1625,6356.348046875,-0.4409031271934509,6858694197248.0,537237585920.0
983,8162,3795,187,24,4,5740,19,2,88,2,220322.15,6983.0609375,-0.3142986297607422,2587675852800.0,423305183232.0
984,8182,3367,12,13,0,736,26,62,25,1,153412.575,8196.4234375,-0.30737680196762085,1512611643392.0,505633701888.0
985,6618,3676,541,62,3,1368,26,29,27,1,177068.675,6878.07109375,-0.3376305103302002,3971885826048.0,515191144448.0
986,8106,2307,33,10,7,3295,95,33,47,56,118427.8875,4779.059375,-0.639607310295105,1700254056448.0,1088555319296.0
987,426,3932,58,27,3,260,93,14,29,24,156572.3625,5410.676953125,-0.5801072120666504,380602941440.0,928149405696.0
988,4340,3375,487,55,3,483,58,47,8,2,132855.4375,6078.562890625,-0.46727362275123596,3266566946816.0,761409699840.0
989,7900,3807,19,7,2,7281,76,41,79,13,129590.2,5608.47421875,-0.557011067867279,1738122723328.0,801461764096.0
990,7961,3800,4,1,3,721,69,46,24,7,122937.9,5579.158984375,-0.5253202319145203,1432632950784.0,766965186560.0
991,7477,259,511,45,3,4826,65,93,7,15,68664.425,5749.50078125,-0.49839118123054504,4093968646144.0,933482070016.0
992,8492,3727,29,27,7,1756,79,74,50,15,83992.475,5247.1484375,-0.570534348487854,1690826178560.0,1073300897792.0
993,7802,3936,12,15,0,464,25,17,30,7,234556.825,8244.703125,-0.3023994266986847,1436538765312.0,358477725696.0
994,7834,3360,612,13,2,5714,3,11,3,1,230115.275,7764.0890625,-0.24079839885234833,4705628979200.0,235444436992.0
995,8165,63,508,2,4,720,27,97,32,6,76193.8375,6862.2109375,-0.33397403359413147,4048588636160.0,720473620480.0
996,7769,479,1564,57,2,1284,40,13,15,28,195573.6125,6702.21328125,-0.3944564163684845,9406948311040.0,544308723712.0
997,8526,2559,67,3,3,5828,24,45,74,64,152557.5875,6844.121875,-0.3353581130504608,2039851384832.0,600237539328.0
998,7821,3748,467,0,3,91,60,22,14,0,159334.0,5856.582421875,-0.486151784658432,3755839324160.0,630519300096.0
999,4345,3932,100,78,2,6408,35,42,94,26,160068.3125,6973.56171875,-0.37351247668266296,1502141480960.0,669402398720.0
1000,8090,3745,995,15,0,3625,49,2,0,1,227264.5,7189.346875,-0.4261818528175354,6634948526080.0,422852722688.0
1001,7412,193,3,1,4,3612,8,77,4,5,115187.2375,7469.809375,-0.24477431178092957,1437406330880.0,536588386304.0
1002,8105,3329,1535,24,2,6530,44,45,7,35,144940.9375,6505.594140625,-0.4187658727169037,9508334075904.0,632367415296.0
