,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx
20,109,1449,26,605,4,4490,28,72,41,97,194916.84375,80388.34375,-0.18467411398887634,315889942528.0,1398567600128.0
21,64,1281,25,145,3,413,6,79,57,51,180044.765625,89728.375,-0.12121859937906265,154207354880.0,829866639360.0
22,7616,1417,1004,275,8,6595,55,31,49,100,295347.0,79739.5,-0.19270730018615723,6706858819584.0,1171689046016.0
23,173,3481,875,9,5,1677,33,40,63,98,273947.8125,80218.5078125,-0.1846492439508438,4571292762112.0,809220243456.0
24,6920,362,680,620,11,6027,68,99,54,94,127694.0546875,80934.671875,-0.18672075867652893,4906098360320.0,1857962246144.0
25,518,394,597,275,7,5754,87,31,63,100,294351.5625,79712.609375,-0.1964525282382965,3356719316992.0,1439117737984.0
26,1920,1928,790,228,12,7444,77,36,78,100,282336.375,79710.2265625,-0.1957045942544937,4650590797824.0,1480448409600.0
27,456,911,1556,76,4,5996,54,63,78,100,216445.4375,79741.6953125,-0.19247174263000488,8264834613248.0,1090511831040.0
28,78,2447,228,812,11,4985,25,20,33,100,323539.71875,79784.6484375,-0.1882006973028183,1362791235584.0,1564032499712.0
29,657,2613,1,419,59,5770,44,71,15,98,197017.3125,80164.78125,-0.1881909966468811,329980182528.0,3095732158464.0
30,2494,2566,11,30,0,4252,22,81,53,90,193849.3125,82994.03125,-0.06531679630279541,645588516864.0,784880631808.0
31,2953,1632,22,28,3,5915,10,64,55,27,218302.0625,94442.71875,-0.09594998508691788,842477338624.0,598025109504.0
32,1590,1619,1053,430,3,6523,57,75,49,100,186793.25,79740.015625,-0.19277358055114746,5906106417152.0,1388104646656.0
33,6391,789,1385,76,4,6027,58,96,57,95,135184.125,80743.4375,-0.18672287464141846,8423610515456.0,1100885000192.0
34,384,1277,25,81,3,18,2,76,56,43,187969.84375,91351.765625,-0.11031774431467056,195503390720.0,735919538176.0
35,3443,3831,279,1716,11,6500,48,72,43,100,194375.875,79749.46875,-0.1916450709104538,2264957190144.0,2620323528704.0
36,3000,1662,90,81,3,1536,5,52,14,3,249693.65625,99375.671875,-0.06185399368405342,1039073280000.0,520652062720.0
37,2233,3169,89,79,3,64,3,72,45,59,197097.609375,88129.703125,-0.13047857582569122,846735409152.0,675562979328.0
38,2204,1414,408,75,3,2411,38,98,14,94,130605.3046875,81014.9609375,-0.18056440353393555,2560585891840.0,1025991507968.0
39,142,1513,1936,159,7,3742,55,83,12,100,167139.25,79772.21875,-0.19119898974895477,10073547997184.0,1317269667840.0
40,1980,1281,24,87,3,1434,38,99,14,61,129535.0078125,87672.3125,-0.13839882612228394,519870742528.0,1019707523072.0
41,6390,1681,934,403,23,6020,68,99,54,95,127656.1875,80734.1015625,-0.18795475363731384,6114060009472.0,2039964106752.0
42,1441,1031,36,33,3,4197,8,83,53,1,172800.96875,99696.671875,-0.062472324818372726,588275777536.0,660813774848.0
43,4357,2566,109,80,0,2205,37,55,10,99,265926.65625,81294.84375,-0.07318229228258133,1396985036800.0,760591089664.0
44,1137,3471,27,1451,12,3227,31,59,95,100,226891.875,79789.0625,-0.18851909041404724,453889949696.0,2342334496768.0
45,112,3640,107,1601,55,6506,55,72,67,100,194225.921875,79739.46875,-0.19262796640396118,804675911680.0,4066376679424.0
46,3842,1855,429,81,31,5658,42,100,2,96,127975.453125,80570.9765625,-0.18537360429763794,3071698796544.0,1909457551360.0
47,72,2551,23,829,55,5497,57,4,45,100,361881.15625,79746.6484375,-0.19249145686626434,330824318976.0,3157247655936.0
48,2174,2814,101,110,3,98,6,79,53,51,180051.375,89735.359375,-0.12093412131071091,899144810496.0,747674730496.0
49,6011,2681,411,45,3,2468,40,100,9,33,130887.90625,93282.5078125,-0.10469675064086914,3240747335680.0,829127000064.0
50,2184,1269,228,15,12,7787,53,0,71,100,371852.5,79732.9921875,-0.19272345304489136,1831620575232.0,1016423972864.0
51,2846,1144,86,46,3,69,8,51,6,27,250725.6875,94578.8359375,-0.09071426093578339,938268688384.0,556822167552.0
52,119,3640,107,317,55,6518,55,52,61,100,243553.0,79740.046875,-0.19259703159332275,806332006400.0,2878549786624.0
53,3633,2039,26,1004,7,4963,14,13,62,100,341238.1875,79790.1015625,-0.18712763488292694,946602770432.0,1496600543232.0
54,79,2551,23,1089,55,5477,57,20,83,100,322406.6875,79740.96875,-0.1927633434534073,331313315840.0,3455208914944.0
55,1913,2915,110,4,3,3004,3,64,53,52,217216.15625,89475.640625,-0.12460700422525406,1005800914944.0,565050802176.0
56,3585,1151,1156,447,3,6771,37,96,18,96,135445.546875,80566.1171875,-0.18512938916683197,6789802754048.0,1310480269312.0
57,122,910,40,382,27,1925,49,25,31,96,310600.625,80606.140625,-0.1841355711221695,296261779456.0,1896455340032.0
58,1725,3182,107,14,0,1212,1,94,21,28,160901.65625,95409.375,0.016868747770786285,892341846016.0,612653203456.0
59,4084,2552,292,948,19,5478,41,95,18,100,137718.90625,79767.359375,-0.19031013548374176,2405820268544.0,2240508067840.0
60,1928,3064,14,73,63,1403,0,71,51,100,197904.75,79855.2578125,-0.1826779991388321,458487660544.0,2652219899904.0
61,1407,1952,26,14,3,5736,6,7,54,51,358480.0625,89629.65625,-0.12526316940784454,587299815424.0,381044555776.0
62,1908,3112,1271,127,3,5275,2,48,54,100,254854.09375,79801.578125,-0.18560567498207092,7032096686080.0,666280853504.0
63,2185,1402,100,14,0,7672,2,55,62,3,270952.5,100245.546875,0.04264822229743004,1172239286272.0,435201048576.0
64,1870,494,41,118,6,3028,46,94,5,98,140218.796875,80194.2890625,-0.18703685700893402,645911019520.0,1222425968640.0
65,1210,2494,1650,65,7,1945,9,53,60,100,242332.0625,79836.234375,-0.18437227606773376,8729589186560.0,822270623744.0
66,2114,865,90,79,3,3747,4,73,62,60,194474.390625,87850.734375,-0.13535845279693604,965495750656.0,710886621184.0
67,1144,616,168,1787,50,7472,77,96,77,100,134721.046875,79711.390625,-0.19564460217952728,1331886030848.0,4337066049536.0
68,897,3095,23,17,4,6267,11,2,46,15,372603.6875,96848.0390625,-0.08115965127944946,502529982464.0,375861051392.0
69,4237,2141,98,79,1,1405,4,46,62,23,282884.65625,96190.984375,-0.033230122178792953,1290591404032.0,473382256640.0
70,64,1406,280,33,3,2469,9,99,58,63,129802.125,87268.984375,-0.13856984674930573,1534809866240.0,833041530880.0
71,1600,2801,992,439,3,1409,34,99,14,93,128237.1875,81236.5390625,-0.17789602279663086,5408968671232.0,1301010317312.0
72,854,3872,46,87,7,1527,9,18,60,90,329496.5,81853.859375,-0.17150624096393585,439889297408.0,688951132160.0
73,4091,3067,293,72,35,4711,92,99,18,100,127169.1015625,79723.25,-0.1964634507894516,2384178446336.0,2295177936896.0
74,857,2337,25,87,0,527,10,12,56,43,388606.8125,92419.015625,-0.0024376653600484133,296411496448.0,403565379584.0
75,1981,878,106,15,3,163,4,78,21,3,185241.703125,99411.953125,-0.06033748760819435,893518741504.0,612647305216.0
76,6264,1032,746,499,15,7595,76,67,54,100,206096.34375,79713.78125,-0.19551020860671997,5187023405056.0,1836898582528.0
77,1805,2465,125,78,1,6269,4,44,6,27,287914.9375,95308.265625,-0.041129592806100845,1182907760640.0,458957062144.0
78,2370,3169,91,113,0,2748,1,86,62,35,182791.53125,93969.390625,0.006013241596519947,978736775168.0,656283795456.0
79,5894,145,934,79,7,6023,24,99,57,92,128350.578125,81379.40625,-0.17870531976222992,6027826692096.0,1033633595392.0
80,4003,1470,407,14,3,172,9,48,54,28,258057.0625,94360.7265625,-0.09265866130590439,2786956935168.0,521949347840.0
81,6233,1953,1881,46,0,6126,5,48,10,55,287626.96875,89947.609375,-0.021584130823612213,10939237662720.0,420123443200.0
82,65,1661,20,111,0,380,21,80,38,60,198020.78125,89033.390625,-0.02434578724205494,127577612288.0,893437411328.0
83,4281,2702,924,94,3,7559,17,99,34,69,129387.828125,85996.65625,-0.14931879937648773,5751868751872.0,823160471552.0
84,383,1058,6,49,3,1940,5,56,56,44,237431.640625,91104.796875,-0.11383841186761856,168163835904.0,611208593408.0
85,7811,1186,25,47,0,109,5,77,62,43,207484.109375,92431.5390625,-0.00155829475261271,1491715096576.0,542521032704.0
86,6392,1513,809,499,23,6075,68,92,54,100,144709.6875,79730.125,-0.19419415295124054,5476415700992.0,2110391582720.0
87,762,3182,154,110,0,4603,1,92,21,28,166408.84375,95334.546875,0.013616630807518959,1089046446080.0,683894439936.0
88,3982,2050,98,78,2,1282,3,47,56,23,267791.0,95659.921875,-0.068480484187603,1241713868800.0,493693173760.0
89,133,3056,474,903,4,5254,15,93,18,100,143047.296875,79795.8125,-0.18687646090984344,2641698488320.0,1635216654336.0
90,131,3694,125,150,1,2435,5,83,9,20,184202.5,96784.8828125,-0.030060747638344765,751633235968.0,700751937536.0
91,576,1218,38,73,3,26,2,12,7,50,346471.40625,89951.96875,-0.11870957165956497,295778549760.0,412337274880.0
92,2169,2617,393,17,3,1903,9,40,5,38,277338.125,92320.6171875,-0.10641028732061386,2459160805376.0,479900008448.0
93,6278,2448,793,953,5,3453,5,96,7,98,135848.6875,80227.265625,-0.1823178380727768,5278998724608.0,1551464923136.0
94,1981,3214,107,15,0,188,4,70,26,0,229477.9375,101005.4453125,0.05214504525065422,899550806016.0,491695046656.0
95,1133,3041,218,111,51,6391,17,92,15,100,145487.140625,79786.21875,-0.18743562698364258,1546536353792.0,2468286300160.0
96,6152,2674,89,435,11,6136,68,100,79,91,127803.75,81531.828125,-0.18319348990917206,1750461448192.0,1686906601472.0
97,2937,1465,85,17,0,2064,6,23,10,69,356827.875,87227.8046875,-0.03521190956234932,1021767712768.0,366747156480.0
98,118,1143,24,1132,48,5485,11,79,42,99,177830.125,79994.6953125,-0.18539369106292725,343514185728.0,3222962176000.0
99,4226,2202,114,79,1,1410,5,41,49,7,297156.9375,99411.0625,-0.013235684484243393,1370779025408.0,431005597696.0
100,123,449,27,447,4,1892,40,99,0,96,128041.046875,80621.875,-0.1826891452074051,228671979520.0,1442444738560.0
101,4091,1986,37,72,36,4763,95,99,17,99,127166.078125,79920.8515625,-0.19560515880584717,1075355385856.0,2365723246592.0
102,6559,862,1190,47,0,2065,2,51,10,55,279460.625,90016.125,-0.018087049946188927,7309922140160.0,419456843776.0
103,2433,2686,644,78,3,1604,10,99,13,45,130673.8203125,90916.84375,-0.11503585427999496,3779330310144.0,768607322112.0
104,5507,1441,1003,46,3,6307,2,92,10,11,149953.28125,97671.4296875,-0.0747687965631485,6324098695168.0,578890039296.0
105,1213,119,91,16,1,6022,3,64,1,75,232214.34375,85681.7734375,-0.10057678818702698,896761659392.0,584727658496.0
106,435,1422,4,65,2,1347,5,59,6,65,235062.84375,87216.078125,-0.12078464031219482,145343365120.0,618478829568.0
107,90,2045,101,112,4,5251,9,95,18,99,138215.3125,80002.65625,-0.1848697066307068,724343783424.0,935839006720.0
108,378,2694,922,17,0,935,1,4,14,76,409737.4375,85859.7578125,-0.04245642200112343,4820550811648.0,259352805376.0
109,8079,2435,41,956,50,6682,94,31,28,100,294133.96875,79703.5625,-0.19748570024967194,1860071849984.0,3314496045056.0
110,2295,2651,86,33,3,2405,6,11,12,91,346928.875,81649.0859375,-0.1728217750787735,927567970304.0,438949969920.0
111,1727,766,102,121,3,3706,5,24,5,68,315646.25,86254.03125,-0.14497123658657074,958070915072.0,535792910336.0
112,6501,1433,394,14,3,157,9,41,2,81,272898.0625,83698.65625,-0.1586257964372635,3154701189120.0,508034056192.0
113,2938,1657,90,18,3,4048,6,4,10,53,365891.25,89260.421875,-0.12668313086032867,1119917965312.0,348602925056.0
114,2130,1673,98,142,3,1367,10,31,9,95,297075.625,80858.3125,-0.17733897268772125,922418544640.0,647419985920.0
115,7009,3473,922,57,2,3772,2,81,39,28,180832.0625,94601.0625,-0.07692964375019073,6078369628160.0,541704093696.0
116,1166,3567,1946,54,2,3747,5,49,38,99,259067.8125,80329.3828125,-0.16580408811569214,10303188238336.0,593022353408.0
117,4819,2629,97,34,0,2405,1,15,51,91,378338.65625,82842.203125,-0.06257675588130951,1423266283520.0,346666762240.0
118,5661,2073,670,81,0,4241,2,62,50,88,247261.5625,83409.8828125,-0.06081975996494293,4570578157568.0,553481797632.0
119,6208,1229,21,8,3,68,2,25,6,3,316821.0625,99418.21875,-0.05998846888542175,1190689374208.0,312363319296.0
120,7068,754,1112,81,1,3168,1,93,6,49,156001.625,90942.0625,-0.06682860106229782,7039405260800.0,592403234816.0
121,6501,1414,378,14,0,109,5,15,13,86,378537.3125,83878.9609375,-0.05432174354791641,3071030329344.0,323202351104.0
122,117,2568,283,1131,15,5478,41,64,21,100,214298.359375,79767.375,-0.1902575045824051,1669165219840.0,2243401613312.0
123,8006,2417,915,109,12,1144,1,99,41,99,128442.515625,80060.125,-0.1813640594482422,6120217247744.0,1044566638592.0
124,1149,892,40,78,2,3997,2,12,6,49,355605.21875,90383.984375,-0.1028197705745697,550628491264.0,375411179520.0
125,1344,1681,1373,14,3,7065,2,51,11,60,249070.265625,87825.859375,-0.13590025901794434,7521455570944.0,525006635008.0
126,890,3472,85,1551,61,4808,17,80,77,100,175200.15625,79787.6796875,-0.18746474385261536,765527064576.0,4007813971968.0
127,437,1409,100,30,3,860,1,59,14,76,228642.296875,84700.25,-0.1519559919834137,619445616640.0,608196362240.0
128,80,2025,22,195,0,4582,6,7,21,30,403225.03125,94930.40625,0.01051915343850851,293717770240.0,403924320256.0
129,1905,3600,1949,78,4,3739,6,48,54,100,254772.15625,79813.0703125,-0.18543139100074768,10446900822016.0,676802592768.0
130,1799,1646,938,397,17,5956,68,92,54,100,144711.28125,79732.0078125,-0.19405430555343628,5333004582912.0,1943726456832.0
131,6495,2326,1372,14,0,7190,2,44,51,3,301621.8125,100251.453125,0.04213736206293106,8417580154880.0,311942152192.0
132,3963,3004,149,46,0,1980,0,10,14,17,395925.875,97579.7421875,0.02961108833551407,1524989558784.0,215552180224.0
133,5242,3030,682,15,3,5327,1,87,66,20,161840.5625,95861.875,-0.08604142814874649,4598697295872.0,561877286912.0
134,1381,1401,101,14,0,1420,2,0,50,72,420975.875,86638.34375,-0.038155507296323776,809326215168.0,256156893184.0
135,5535,1793,1946,40,1,7209,0,44,10,27,287991.9375,95300.015625,-0.04139086231589317,11190036070400.0,365986807808.0
136,584,2662,4,1921,15,1435,3,32,48,98,294676.21875,80254.25,-0.18056409060955048,174491549696.0,2563663462400.0
137,6279,1525,230,14,20,6588,59,37,54,100,280428.625,79735.1796875,-0.19321049749851227,2510978547712.0,1381619597312.0
138,1600,1633,1361,0,3,7782,3,3,11,13,370557.40625,97252.09375,-0.07771573215723038,7530735468544.0,260095868928.0
139,7043,894,1192,47,0,3982,2,51,5,55,279401.15625,89979.34375,-0.01985982060432434,7474348818432.0,409237913600.0
140,2438,2449,1731,109,3,5229,5,63,15,95,217781.78125,80809.5234375,-0.1794278472661972,9477879234560.0,698434060288.0
141,582,2559,47,1885,73,7707,86,99,6,81,127972.15625,83525.671875,-0.17264612019062042,623105802240.0,5165822771200.0
142,7036,889,1197,33,0,6079,2,60,13,51,254438.1875,90744.9765625,-0.015989376232028008,7575228645376.0,427492802560.0
143,3005,608,155,62,4,5730,2,22,14,80,320147.125,83819.734375,-0.16054925322532654,1525740863488.0,505109938176.0
144,1975,535,230,252,13,7829,78,63,41,100,215897.1875,79713.84375,-0.19559985399246216,1807009710080.0,1658702790656.0
145,7103,1718,1959,33,3,2153,2,35,9,8,291630.6875,98356.0234375,-0.0684242844581604,11345111023616.0,364930596864.0
146,1469,2709,996,9,1,965,2,3,13,45,396717.875,91790.6875,-0.05968078598380089,5390447149056.0,242356240384.0
147,95,1041,25,51,0,89,4,15,10,17,381934.125,97625.4140625,0.03146592155098915,147784302592.0,298073128960.0
148,4787,2750,98,75,0,2626,3,33,62,19,331461.65625,97149.59375,0.025516536086797714,1430877634560.0,373470625792.0
149,6561,2217,924,8,0,964,5,3,21,50,413542.75,91027.53125,-0.011130503378808498,5908185743360.0,230379716608.0
150,83,1050,21,195,3,2777,6,7,22,65,357922.75,86869.6015625,-0.14073334634304047,223273598976.0,543273877504.0
151,79,2559,41,962,51,6810,94,31,35,100,294132.09375,79703.6953125,-0.19737081229686737,472101060608.0,3477686714368.0
152,81,2943,103,51,3,3235,4,96,51,73,136857.65625,85250.296875,-0.15105675160884857,659473301504.0,796743237632.0
153,5408,1918,1445,23,0,7086,13,44,10,100,297112.25,81081.4296875,-0.07414265722036362,8598322675712.0,503922262016.0
154,6042,3130,168,111,3,5312,6,82,2,85,171037.578125,82817.84375,-0.16709505021572113,2105733283840.0,702095556608.0
155,443,3470,85,1933,61,6476,17,78,50,100,180147.671875,79780.0,-0.18772457540035248,748562022400.0,4335050686464.0
156,5494,1086,898,14,3,1890,6,40,2,33,277690.5625,93330.078125,-0.09981110692024231,5623103094784.0,431482241024.0
157,1410,2670,92,8,2,4660,22,76,13,91,190261.359375,81914.40625,-0.15809567272663116,886489677824.0,748910411776.0
158,3651,654,106,15,0,162,3,33,2,0,332766.09375,101013.015625,0.052501875907182693,1184196067328.0,308381057024.0
159,452,3518,90,1973,60,7500,94,80,49,99,173819.59375,79899.3125,-0.19633619487285614,813084180480.0,4796188196864.0
160,3134,2030,1402,48,3,7116,4,30,17,63,300957.03125,87219.125,-0.14000467956066132,7983397339136.0,473351782400.0
161,6213,1161,1946,31,3,918,3,19,6,0,331837.625,99998.59375,-0.05724440887570381,11078566150144.0,311830020096.0
162,5757,1302,1129,17,2,209,9,44,11,65,273197.78125,87231.5,-0.12044268101453781,6790283001856.0,483678584832.0
163,5715,1286,102,80,0,922,2,40,13,30,311470.25,95016.65625,0.014499414712190628,1550741667840.0,391148863488.0
164,71,2433,38,46,9,2916,4,94,54,83,141403.21875,83245.203125,-0.16329415142536163,313295372288.0,1001916137472.0
165,6041,2629,389,17,0,1128,5,12,13,4,390977.875,100183.796875,0.045849449932575226,3084446597120.0,205833928704.0
166,5523,2985,1149,46,0,1386,0,63,2,14,248214.71875,98195.921875,0.03363260626792908,6894884749312.0,390717669376.0
167,444,3431,101,110,3,1945,3,63,14,31,220813.125,93732.921875,-0.09697383642196655,665365118976.0,622017249280.0
168,6210,1166,1941,0,0,921,3,29,5,0,343858.78125,100989.90625,0.05062611401081085,11052556222464.0,231121108992.0
169,100,1018,21,1804,4,3399,9,7,17,99,356399.0625,80021.484375,-0.18402060866355896,248923537408.0,2027686330368.0
170,2686,1340,1115,97,3,6650,1,99,13,88,128817.71875,82209.4296875,-0.17055314779281616,6418971754496.0,806492635136.0
171,2959,3842,553,125,48,7551,99,95,61,100,136870.40625,79691.234375,-0.1983540803194046,3621923061760.0,2816296091648.0
172,5280,3001,1123,9,0,7130,6,7,10,50,402127.0,90930.109375,-0.015464788302779198,6929005936640.0,246876602368.0
173,442,2061,111,1858,54,6555,42,97,54,94,132974.625,80958.484375,-0.18343223631381989,884389904384.0,4290679144448.0
174,2175,3902,1558,9,1,1207,7,44,40,100,284611.5625,80714.1484375,-0.12969446182250977,8399616475136.0,515639410688.0
175,2630,2921,518,15,1,6170,5,60,10,45,244218.34375,91695.3515625,-0.06375554203987122,3335071989760.0,483433054208.0
176,6038,1057,175,0,3,7975,6,14,21,86,339570.65625,82594.890625,-0.16913016140460968,2238022942720.0,407712661504.0
177,71,2553,21,34,6,6057,2,91,45,99,148224.59375,79999.234375,-0.18443962931632996,340839006208.0,881903206400.0
178,2469,1385,1129,17,3,158,6,63,53,95,217832.9375,80874.78125,-0.17608685791492462,6216046608384.0,675869032448.0
179,2950,1249,769,15,3,7972,5,61,10,46,224858.9375,90626.5546875,-0.11904880404472351,4741634457600.0,552388395008.0
180,5719,2985,424,0,1,6169,6,15,21,85,362534.15625,83665.0859375,-0.1138613149523735,3391488000000.0,348946464768.0
181,2681,1398,27,9,1,763,13,0,10,94,402164.9375,81927.203125,-0.12193772196769714,632782716928.0,367066906624.0
182,7045,2974,357,17,3,6191,1,20,10,43,326836.0625,91245.40625,-0.11455260217189789,3280081780736.0,345997344768.0
183,4190,2625,122,12,3,2899,5,8,13,10,358365.1875,97930.328125,-0.07204385101795197,1459790807040.0,291412312064.0
184,5443,2168,1116,9,0,6202,6,7,13,51,402094.71875,90738.9375,-0.016475286334753036,6887685750784.0,249453559808.0
185,3656,2982,443,0,1,6169,0,0,8,6,406785.625,99525.25,-0.014606425538659096,3129641795584.0,151407951872.0
186,2495,1694,1314,9,3,7016,5,51,11,67,248674.953125,86417.859375,-0.14500704407691956,7417951682560.0,536508530688.0
187,5190,2969,601,16,3,5257,6,32,10,26,297825.59375,94666.828125,-0.0936424657702446,4172370411520.0,394770907136.0
188,5708,2990,337,15,1,5148,6,48,29,75,274856.4375,85679.625,-0.10112086683511734,2906887815168.0,464196567040.0
189,5283,1089,1638,49,3,5997,4,65,13,54,214586.953125,89036.421875,-0.12852159142494202,9524995948544.0,568698601472.0
190,6233,2408,111,1,0,3227,4,96,45,82,152676.328125,84616.828125,-0.05257604643702507,1771081564160.0,609662861312.0
191,2982,2681,5,14,0,699,5,7,10,6,404838.6875,99798.609375,0.04417382925748825,570206060544.0,197417058304.0
192,4208,2681,40,19,1,6137,1,7,29,82,384199.3125,84270.8828125,-0.1094517931342125,1161206431744.0,312573722624.0
193,5718,1385,1142,14,0,3865,4,64,13,92,241516.53125,82624.828125,-0.06556274741888046,6983423885312.0,505200541696.0
194,6233,3461,120,30,0,5208,5,24,14,10,356976.34375,98895.375,0.034860994666814804,1889428570112.0,268022743040.0
195,1623,2990,1618,16,2,6170,4,15,9,6,350191.8125,98988.15625,-0.05054883286356926,8791774461952.0,283002437632.0
196,71,2807,16,1220,55,665,6,96,5,93,136060.828125,81278.40625,-0.1735863983631134,118538895360.0,3548553412608.0
197,2136,1441,673,6,3,6999,5,49,11,3,257024.375,99266.4140625,-0.06532824784517288,4072918220800.0,447782060032.0
198,2118,2793,1142,15,3,2201,1,56,53,80,235871.921875,83863.0078125,-0.15857967734336853,6296033558528.0,568390451200.0
199,4536,1030,1350,15,3,5910,6,68,10,62,206731.90625,87429.7890625,-0.138665109872818,7917224853504.0,583561641984.0
200,1968,2311,22,770,55,4742,56,27,45,100,305210.8125,79753.828125,-0.1921377331018448,628217610240.0,3160821465088.0
201,443,3134,121,32,0,1172,2,33,18,10,332125.9375,98991.8984375,0.039004694670438766,739392028672.0,335924428800.0
202,7065,2586,697,17,3,5199,5,4,2,10,368225.78125,97884.078125,-0.07354268431663513,4988175122432.0,272226697216.0
203,5793,2921,100,8,0,26,5,4,10,77,409606.1875,85673.375,-0.042937327176332474,1521394122752.0,266122395648.0
204,2482,2669,597,15,1,3132,5,3,29,85,394692.90625,83700.265625,-0.11227472871541977,3602961924096.0,325559975936.0
205,505,2685,81,54,3,588,90,63,49,95,215912.90625,80785.796875,-0.18694394826889038,524080578560.0,1242399506432.0
206,1143,3451,107,1852,60,7431,22,96,66,100,135492.421875,79767.6328125,-0.1886664479970932,1017896239104.0,4314831257600.0
207,3195,1795,38,1975,63,4761,95,96,29,99,134532.015625,79919.125,-0.19567076861858368,924426960896.0,4915206291456.0
208,6079,2684,137,62,3,5612,59,95,19,99,137497.078125,79948.65625,-0.19142590463161469,1964398084096.0,1027593732096.0
209,5754,3093,88,17,0,1095,9,9,3,69,395814.3125,87243.90625,-0.034584786742925644,1492161789952.0,302883733504.0
210,6027,2561,413,17,0,4142,2,21,13,43,363664.25,92359.359375,-0.00489694532006979,3314839977984.0,270293024768.0
211,5567,1529,1350,17,0,5903,6,68,5,1,234790.734375,100675.71875,0.0451040156185627,8096443793408.0,409543016448.0
212,567,3843,41,1858,63,7496,89,80,29,99,173916.0625,79907.421875,-0.19556580483913422,582077382656.0,4748123045888.0
213,6022,1510,1945,14,1,1169,10,44,10,78,285410.75,85140.625,-0.10242865979671478,11049352822784.0,470354886656.0
214,5720,1529,1401,15,0,4329,4,68,10,64,231513.90625,88182.953125,-0.0314851850271225,8326779240448.0,479905644544.0
215,6266,2569,508,30,0,6106,2,1,50,88,417322.03125,83390.890625,-0.061543505638837814,3914491756544.0,290106769408.0
216,2493,2409,986,9,0,6971,5,51,10,83,278042.28125,84384.0390625,-0.05563712120056152,5736603058176.0,479067209728.0
217,4963,1511,1638,15,0,2922,5,19,10,25,370124.3125,95960.8359375,0.017405318096280098,9357113688064.0,259990913024.0
218,8027,1306,103,81,3,2266,8,44,9,78,265556.78125,84264.203125,-0.15677650272846222,2007364009984.0,559347204096.0
219,6558,1153,1690,16,1,145,1,44,10,27,288156.53125,95432.953125,-0.036395780742168427,9799706083328.0,350402150400.0
220,72,2536,41,962,52,6810,38,28,35,100,303299.4375,79759.1484375,-0.19033296406269073,470882582528.0,3148907806720.0
221,5247,3513,41,11,0,5127,6,71,19,8,226019.09375,99293.375,0.03729987516999245,1310350639104.0,435736150016.0
222,6078,2937,645,16,0,6294,3,34,21,25,328254.34375,95901.8359375,0.015946071594953537,4590063321088.0,300612681728.0
