,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx
0,649,50,82,156,73,1882,8,60,64,100,225000.8125,79837.9453125,-0.18419025838375092,601473286144.0,3109510971392.0
1,6331,525,731,529,4,6035,31,100,58,94,128181.28125,80970.703125,-0.18209539353847504,5064978595840.0,1351906230272.0
2,1609,796,841,332,3,3705,2,78,25,100,180467.1875,79822.7890625,-0.18464158475399017,4721173594112.0,977434181632.0
3,593,2032,162,479,3,4117,56,12,73,100,342201.9375,79755.875,-0.19204506278038025,1082857619456.0,1197039419392.0
4,590,110,13,479,87,2260,9,12,62,100,343968.71875,79830.65625,-0.18467018008232117,251712012288.0,3643064451072.0
5,142,47,1964,160,7,4458,8,48,3,100,254732.171875,79811.78125,-0.18559202551841736,10243026190336.0,872835973120.0
6,904,3575,23,1466,48,2715,63,71,83,100,196570.171875,79767.421875,-0.19199886918067932,374171500544.0,3750407962624.0
7,880,1679,865,480,3,4210,24,36,9,100,284003.9375,79797.109375,-0.18756940960884094,4735571066880.0,1060206936064.0
8,7672,1429,1104,274,15,2495,72,96,63,100,134834.828125,79764.1484375,-0.1928979605436325,7079040385024.0,1685746352128.0
9,270,878,29,65,84,4310,53,47,21,100,255985.46875,79765.671875,-0.19133716821670532,352710426624.0,3608562106368.0
10,1070,1555,163,605,4,4650,7,95,72,100,138197.5,79800.09375,-0.18609841167926788,1190457638912.0,1367479287808.0
11,3203,2313,1605,208,4,4307,10,49,49,99,252215.15625,80003.9375,-0.1849750578403473,8932295704576.0,809519874048.0
12,501,1417,405,51,9,5349,42,24,1,100,313089.03125,79769.921875,-0.1902189701795578,2355945537536.0,953908199424.0
13,1615,2452,1443,594,4,1675,0,100,9,100,128421.2578125,79858.234375,-0.1825716644525528,7730403737600.0,1277435707392.0
14,3663,2447,220,208,4,5990,30,20,50,100,323340.5,79768.5,-0.18935036659240723,1982570168320.0,824320393216.0
15,642,913,24,585,23,1434,62,57,34,96,231293.78125,80601.015625,-0.18533961474895477,286951669760.0,2155026972672.0
16,521,3551,18,186,53,1641,8,60,78,99,225036.28125,80040.46875,-0.18284180760383606,242719326208.0,2448537681920.0
17,4284,2550,324,303,4,6035,14,0,62,99,373459.625,79982.34375,-0.18623074889183044,2624795443200.0,745181282304.0
18,56,1158,97,142,3,1628,6,80,6,51,177559.953125,89714.5859375,-0.12195266038179398,565777924096.0,787727908864.0
19,895,1678,865,481,3,4605,24,35,22,100,286464.46875,79790.9375,-0.18785016238689423,4752592076800.0,1063371210752.0
