,epsilon_progress,nfe
0,0,0
1,47,100
2,307,1195
3,587,2290
4,820,3387
5,1014,4483
6,1172,5577
7,1322,6672
8,1455,7767
9,1578,8864
10,1694,9963
11,1694,11907
12,1760,14499
