,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx,seed_number
22,7240,3566,821,807,10,5039,91,60,27,92,135377.9375,61302.31875,-0.6947888135910034,5647682240512.0,1962503831552.0,0
23,5139,3011,701,45,5,3453,99,12,39,12,169789.325,85733.48125,-0.7070164680480957,4609682178048.0,970720804864.0,0
24,6404,3493,42,1264,15,6877,97,16,60,92,161242.5625,59826.175,-0.7053331732749939,1580721373184.0,2449930190848.0,0
25,2444,3293,6,95,8,143,62,14,47,44,234261.75,110712.5625,-0.6419572234153748,461388185600.0,971919982592.0,0
26,6152,2666,449,162,11,3632,94,3,100,92,175424.4375,58297.4375,-0.6988581418991089,3502315405312.0,1336619302912.0,0
27,4702,2783,264,157,9,3390,83,24,100,99,177409.025,61830.5375,-0.682481050491333,2293871411200.0,1282143420416.0,0
28,5856,3517,25,47,7,819,46,38,60,44,209135.275,80810.2125,-0.6140746474266052,1177289490432.0,854570041344.0,0
29,5885,2776,42,1055,8,7617,97,47,67,92,140657.3125,61227.925,-0.7058984637260437,1517368901632.0,2140001796096.0,0
30,447,3580,6,1546,8,13,26,8,86,55,306686.5,130842.5375,-0.41158661246299744,109007994880.0,2024850718720.0,0
31,7940,3189,1002,1248,0,6867,93,96,67,99,113383.2375,56657.15625,-0.6996291279792786,6762942955520.0,2201617432576.0,0
32,6431,2729,22,1031,23,705,33,66,91,92,193473.5,65162.06875,-0.5988333821296692,1257866657792.0,2300167847936.0,0
33,7885,3215,5,106,10,165,22,30,24,28,240841.95,83703.025,-0.578453779220581,1404240134144.0,791602462720.0,0
34,5917,3291,698,34,2,3586,26,60,31,45,210106.4,79824.93125,-0.5899176001548767,4734608474112.0,618445864960.0,0
35,6192,3581,12,1249,47,7938,95,87,98,57,113560.0,64677.50625,-0.7026408910751343,1428921516032.0,3620745773056.0,0
36,2565,3935,22,172,16,1897,33,22,40,51,249411.65,95210.51875,-0.5998217463493347,628357791744.0,1143087562752.0,0
37,7270,3544,904,365,13,6142,94,94,48,94,107740.8625,58924.84375,-0.700133740901947,6118100172800.0,1799252213760.0,0
38,6419,3194,1418,18,4,4674,98,63,88,51,128020.35,66620.48125,-0.7062186598777771,8548085923840.0,1119993987072.0,0
39,1806,3506,21,1975,40,255,80,1,75,58,222105.125,98582.90625,-0.6729718446731567,431210856448.0,3730125881344.0,0
40,6485,2661,709,34,3,6125,93,38,60,23,153056.475,75736.95,-0.6969319581985474,4982428925952.0,952737464320.0,0
41,7428,3156,105,812,20,6877,97,16,60,92,159568.65,58094.88125,-0.7054563760757446,2081538965504.0,2215092944896.0,0
42,4813,3074,15,85,17,6637,96,78,54,60,122303.4625,73736.7125,-0.7036694884300232,1156764794880.0,1639046840320.0,0
43,4175,3578,27,38,16,4349,65,80,100,31,153818.325,81106.5,-0.6493575572967529,1023675531264.0,1385806299136.0,0
44,1993,3526,52,39,14,7904,94,16,52,63,184456.025,89081.525,-0.6979237794876099,901519310848.0,1335804297216.0,0
45,6982,3490,790,41,8,2320,94,89,44,43,113716.2,71586.825,-0.6970913410186768,5344859258880.0,1282878996480.0,0
46,6296,3490,809,975,8,6879,97,96,60,84,104569.43125,61794.0125,-0.7053088545799255,5489033216000.0,2189917945856.0,0
47,7631,2597,860,17,9,185,91,2,24,99,179896.6,63622.6125,-0.6733105778694153,5738353131520.0,1097670787072.0,0
48,3461,3517,39,216,7,3936,40,89,76,41,171448.3,86900.18125,-0.6137059330940247,945756110848.0,1147576647680.0,0
49,8073,3380,76,403,15,5680,98,63,55,4,127958.35,74503.525,-0.7064386010169983,2001674174464.0,1718511206400.0,0
50,7183,3073,122,22,9,7674,23,5,39,17,261644.45,80804.61875,-0.5839895009994507,2155004428288.0,609313357824.0,0
51,5003,3456,37,1100,45,7409,100,59,65,66,130885.1875,69161.975,-0.7103598713874817,1330642419712.0,3388985573376.0,0
52,6431,2661,1077,977,4,4669,97,27,60,84,154359.8125,62425.29375,-0.7034530639648438,6804073349120.0,1871503818752.0,0
53,8120,2669,887,81,0,319,29,56,46,44,219397.225,76999.05,-0.591029942035675,5966607155200.0,619261001728.0,0
54,6335,3134,245,43,8,7391,92,95,0,43,111851.5,76367.65625,-0.6958202719688416,2626820243456.0,1272764301312.0,0
55,7310,3075,821,82,1,3098,20,8,9,35,273191.275,80956.11875,-0.5800387859344482,5589058977792.0,404382711808.0,0
56,220,3570,11,1121,13,841,80,69,26,2,187551.7625,164032.1,-0.4570932388305664,125297278976.0,2297922322432.0,0
57,203,3573,9,1118,50,129,91,63,25,74,182300.875,142104.875,-0.4511778950691223,86124142592.0,3663094874112.0,0
58,2042,2567,20,343,3,2,82,2,44,57,231435.5,118596.55,-0.5754642486572266,457944301568.0,1126366576640.0,0
59,740,3577,0,1121,63,255,43,86,84,62,188671.4625,112927.175,-0.5202943682670593,138121609216.0,3868445376512.0,0
60,1927,3517,38,1079,8,1005,17,16,79,75,279784.25,91334.4625,-0.5739454030990601,566674653184.0,1605188059136.0,0
61,7983,3106,246,17,9,7426,23,22,38,17,243942.6,78709.1625,-0.5845839977264404,2920100921344.0,653432848384.0,0
62,1307,3538,4,34,11,15,81,85,35,61,151444.2,118122.3,-0.6645749807357788,248549736448.0,1437892476928.0,0
63,6435,3446,7,1530,12,2766,33,94,91,76,166292.05,65716.99375,-0.6014373302459717,1256948498432.0,2437280956416.0,0
64,1963,3079,7,379,39,2287,96,95,62,43,118849.5,99251.76875,-0.7020730972290039,460988743680.0,2709183791104.0,0
65,1733,3173,8,406,46,2833,28,88,59,43,192075.3625,105510.05,-0.5896822214126587,445988536320.0,2543633563648.0,0
66,1734,3045,22,105,7,6369,26,2,38,42,288684.925,109735.675,-0.5705517530441284,646835798016.0,671934251008.0,0
67,848,3265,6,657,9,421,40,4,56,28,290229.15,139266.85,-0.4562302529811859,193697890304.0,1309021700096.0,0
68,1072,3571,7,21,8,122,23,10,48,26,303205.025,140036.05,-0.533899188041687,226904309760.0,639276023808.0,0
69,7827,2755,569,482,12,3133,30,16,92,97,238574.5,59294.6875,-0.5972250699996948,4390096207872.0,1305653673984.0,0
70,2511,3150,1221,1045,13,7366,100,98,60,43,109961.375,92792.9,-0.7105181217193604,6957345800192.0,2453574516736.0,0
71,7664,2562,156,17,9,901,3,2,39,99,288903.325,68501.2125,-0.5048061013221741,2165737914368.0,584517156864.0,0
72,8142,3522,537,3,1,3077,34,17,29,40,245278.925,75209.85,-0.5996162295341492,4279047815168.0,463646621696.0,0
73,8143,3046,954,106,9,7224,17,19,54,64,251494.625,68337.0,-0.5782657265663147,6565545377792.0,755636502528.0,0
74,3322,3326,73,233,22,1863,32,62,96,61,206827.9625,83073.325,-0.5992832183837891,1020015935488.0,1553058758656.0,0
75,6581,3040,1003,19,4,7392,30,98,35,43,166613.6375,76966.35,-0.5980775356292725,6550640918528.0,797982195712.0,0
76,6923,2713,45,162,9,2591,5,15,2,60,274300.85,78807.875,-0.5551245808601379,1530075545600.0,692087029760.0,0
77,7905,2594,1077,45,5,3581,98,23,60,91,153365.6625,58192.59375,-0.6945772171020508,7020976537600.0,1096059453440.0,0
78,7270,3547,971,338,12,4864,93,94,64,93,108655.6125,58049.5625,-0.698165237903595,6414521073664.0,1744894951424.0,0
79,79,3523,6,1079,8,1010,22,15,72,72,311154.6,135153.375,-0.31654563546180725,81317117952.0,1637448548352.0,0
80,64,3573,7,417,11,127,25,62,41,58,264727.4,164090.45,-0.27654212713241577,51614076928.0,1356483002368.0,0
81,48,3569,9,56,46,130,100,80,54,42,176611.825,177323.2375,-0.31577616930007935,59178237952.0,2741032452096.0,0
82,5859,3083,1609,924,4,5053,98,89,70,77,109556.75,64113.50625,-0.7066059112548828,9442347188224.0,2005590999040.0,0
83,2242,3522,37,51,15,252,16,47,92,35,252544.9,110019.125,-0.5665249824523926,588920324096.0,1013273329664.0,0
84,1546,3189,15,919,45,785,27,39,59,88,248670.525,95498.9875,-0.5651421546936035,374564454400.0,2830022737920.0,0
85,202,3571,9,1101,50,130,84,9,6,84,244676.65,141920.625,-0.4357885718345642,85986566144.0,3395911417856.0,0
86,7694,3070,165,16,6,901,3,61,31,26,230869.35,84136.175,-0.545828640460968,2217039888384.0,569385353216.0,0
87,6708,2718,35,126,9,3807,37,13,30,93,236133.3,66651.30625,-0.6083657741546631,1485808074752.0,900187291648.0,0
88,510,3565,9,24,48,1216,35,87,25,53,205350.9375,136337.9,-0.40331119298934937,179220480000.0,2364437954560.0,0
89,7177,3101,9,9,3,189,1,8,7,36,290541.4,88107.8,-0.5360869765281677,1302347120640.0,292802723840.0,0
90,7944,3738,709,94,42,4494,93,60,100,91,131964.85,54688.99375,-0.6980623602867126,5176913559552.0,2406420578304.0,0
91,6402,3173,1076,982,62,5070,98,100,60,84,101573.44375,61892.80625,-0.7064370512962341,6808534515712.0,3936432947200.0,0
92,2034,3316,13,108,21,909,7,0,59,56,316118.0,106947.45,-0.5561497211456299,453799084032.0,1037621002240.0,0
93,48,3554,1,1805,35,188,75,48,9,42,226086.9,172995.4125,-0.355867475271225,20334080000.0,3567940272128.0,0
94,714,2962,11,19,10,815,19,40,58,92,296800.85,140502.425,-0.1721436232328415,210344345600.0,894501650432.0,0
95,510,3556,3,286,48,1345,35,88,33,58,197297.575,123500.175,-0.4556182026863098,153206390784.0,2586948141056.0,0
96,8142,2618,537,58,1,4100,29,23,18,55,244994.825,73580.6875,-0.58379727602005,4316367945728.0,513535049728.0,0
97,2041,3453,26,247,24,166,84,57,47,38,168638.2,111698.3125,-0.6783978939056396,494472986624.0,1908499546112.0,0
98,1103,3640,41,1313,84,29,97,38,80,68,173555.4875,100486.03125,-0.6951503753662109,402988105728.0,4851074334720.0,0
99,968,3578,6,1921,48,188,91,89,36,33,137904.2125,125651.15,-0.6511902213096619,206087667712.0,4314872414208.0,0
100,1167,2962,8,49,9,3967,10,4,35,59,318145.125,118719.2875,-0.4059949219226837,388827545600.0,620694994944.0,0
101,1024,2573,9,8,19,162,92,90,46,42,182560.425,184603.5625,-0.138968825340271,230247661568.0,1791810994176.0,0
102,8064,3702,42,1036,44,7401,100,75,67,66,115069.9,61098.5875,-0.7100870013237,1888809385984.0,3319346233344.0,0
103,6469,3581,1556,7,8,7999,100,53,26,7,134992.15,80297.6875,-0.7097102403640747,9384646148096.0,1133919338496.0,0
104,76,3522,1,583,7,50,17,40,20,55,304543.975,174467.475,-0.2340659350156784,20174077952.0,1211037384704.0,0
105,7427,2662,494,69,0,3896,42,43,17,55,218414.825,74023.625,-0.6159514784812927,3964298854400.0,643255238656.0,0
106,166,3540,8,94,12,960,28,64,86,37,250964.5,152092.45,-0.3394330143928528,104878080000.0,1120149176320.0,0
107,7537,3581,869,109,1,901,19,2,41,92,279036.725,68007.14375,-0.5758403539657593,5794189803520.0,496323297280.0,0
108,8048,3718,761,94,8,4617,91,36,20,88,151760.45,61220.2625,-0.6943973302841187,5465744343040.0,1204625997824.0,0
109,2057,3306,14,117,10,141,0,15,7,56,312772.25,120574.3375,-0.5419591665267944,434906202112.0,676151558144.0,0
110,1871,3194,41,1856,21,1793,96,40,60,91,163590.0625,82586.8125,-0.7014275193214417,601032359936.0,3270295683072.0,0
111,6302,3545,905,81,4,5633,97,92,48,84,107511.2375,62805.45,-0.7047914266586304,5936144449536.0,1272561008640.0,0
112,539,3577,1,1921,63,131,91,86,91,62,144989.3,115074.75,-0.5526982545852661,103728005120.0,4855070982144.0,0
113,248,3450,1,1,8,192,72,57,33,25,235847.9,192807.025,-0.19978627562522888,55295995904.0,1137110548480.0,0
114,60,3578,0,417,48,641,26,39,33,58,284771.325,155010.7125,-0.31083211302757263,33828476928.0,2474090954752.0,0
115,7955,3074,37,30,4,3517,99,64,3,60,125772.75,69372.3375,-0.7000604867935181,1702546636800.0,1100375130112.0,0
116,7473,3522,921,133,1,876,18,26,58,95,255074.325,66202.25625,-0.5744264125823975,6048375635968.0,600557223936.0,0
117,8018,3706,6,89,6,1033,88,57,23,99,141634.9,62389.475,-0.6842172145843506,1464177393664.0,1197412974592.0,0
118,1545,3458,7,589,11,2035,11,41,72,36,262083.75,107373.2375,-0.5660892724990845,379030405120.0,1282646474752.0,0
119,6381,2562,1989,44,0,897,26,33,88,69,248867.7,72336.5875,-0.5568369030952454,11327207636992.0,552595357696.0,0
120,48,3578,7,1094,11,1022,26,0,7,70,326185.55,147402.3,-0.3235377371311188,81478402048.0,1679693447168.0,0
121,6415,2842,1386,14,4,3841,33,1,91,34,253629.6,75031.8375,-0.6025882959365845,8353161936896.0,538769752064.0,0
122,48,3565,2,1794,3,176,87,48,5,29,213437.75,179156.825,-0.38163822889328003,25016320000.0,2554662486016.0,0
123,7171,3270,939,1138,5,7697,98,68,11,66,123390.1625,67589.8375,-0.7068302035331726,6336794853376.0,2109423353856.0,0
124,7963,2720,510,58,1,2305,41,20,1,55,235334.55,75712.94375,-0.6123008728027344,4081485348864.0,566814048256.0,0
125,1993,3469,10,59,33,157,100,48,22,43,161575.025,116403.45,-0.6995342373847961,403868844032.0,2108701016064.0,0
126,5011,3451,1034,94,4,2685,62,1,25,16,223849.825,88549.60625,-0.647117018699646,6264344543232.0,725979234304.0,0
127,7067,2585,498,109,13,6134,94,94,8,41,110191.2125,74461.1125,-0.6851505041122437,4003751526400.0,1495211966464.0,0
128,208,3457,9,89,62,1137,91,47,54,43,199148.275,148781.7,-0.43832460045814514,123766374400.0,3068035858432.0,0
129,1992,3460,17,8,52,1,4,52,24,100,262406.075,101037.9625,-0.5396339297294617,433843798016.0,2189682671616.0,0
130,1799,3074,5,19,15,7429,4,12,62,29,304643.7,111575.3375,-0.538959801197052,609779712000.0,756252803072.0,0
131,771,3074,25,30,3,6922,21,19,25,38,299009.175,138757.3,-0.36824777722358704,514730229760.0,503029006336.0,0
132,7756,3003,246,39,53,3218,95,51,97,98,136853.825,54446.925,-0.698697030544281,2727077216256.0,2705021468672.0,0
133,828,3077,22,25,1,1794,9,0,6,25,375754.95,158496.375,-0.3071434795856476,322223341568.0,258282586112.0,0
134,55,3325,25,30,4,781,26,11,38,38,345692.7,192234.1375,-0.05833759158849716,166065274880.0,554806149120.0,0
135,1847,3460,9,1984,51,254,68,59,25,84,181133.25,96993.9,-0.6529206037521362,376871682048.0,4244636172288.0,0
136,37,3578,1,70,0,251,1,86,1,55,305854.4,190069.65,-0.1605549156665802,20717441024.0,719195406336.0,0
137,8013,2564,377,77,8,5090,10,54,49,59,226462.3,71124.9625,-0.5397480130195618,3510825910272.0,752954638336.0,0
138,442,3181,10,151,5,235,16,56,57,60,281703.875,161537.95,-0.24593102931976318,136716156928.0,857370918912.0,0
139,1251,3462,1,1929,61,3148,100,84,36,40,126479.125,107257.05,-0.6990217566490173,337733124096.0,4751224209408.0,0
140,1569,2650,37,215,8,3347,90,20,61,86,197471.0625,95462.95,-0.5648260712623596,584670183424.0,1329887969280.0,0
141,8048,3462,969,478,7,3322,91,59,47,91,135326.2,59099.925,-0.6935558915138245,6483461799936.0,1584553000960.0,0
142,7525,3367,139,364,54,6113,95,95,31,83,106309.7875,62040.6125,-0.7016721963882446,2244634214400.0,3095315611648.0,0
143,79,3442,1,424,7,58,14,43,36,42,308940.95,183736.2,-0.1911589801311493,20988157952.0,1059806117888.0,0
144,7740,2806,502,90,0,825,45,52,45,40,207581.55,77121.2125,-0.6188620328903198,3947715362816.0,705995669504.0,0
145,204,3083,9,24,1,1906,4,0,41,9,415881.875,192833.675,-0.04429444670677185,151123214336.0,223843844096.0,0
146,6355,2437,1482,3,0,7229,1,33,88,82,276267.75,69675.9,-0.48034581542015076,8957831675904.0,383436652544.0,0
147,8078,3385,409,819,10,4753,94,34,12,89,149926.425,61517.61875,-0.6993716359138489,3673688113152.0,1904119906304.0,0
148,1287,2561,2,999,3,153,82,90,40,62,162539.5,141253.825,-0.4218057096004486,239862382592.0,2048568459264.0,0
149,200,3510,9,1062,83,77,75,71,40,89,193301.2125,137290.4875,-0.39944249391555786,83704954880.0,4650994499584.0,0
150,8188,2885,598,33,7,3696,28,35,36,50,224815.675,72170.375,-0.5930613875389099,4621957332992.0,711568261120.0,0
151,928,3581,9,1273,8,140,32,86,43,37,200259.7125,128864.175,-0.5403075218200684,212733444096.0,2085521063936.0,0
152,2623,3086,1845,39,12,7334,100,93,50,43,113962.425,93636.40625,-0.7104116678237915,10170555957248.0,1529761497088.0,0
153,823,3819,42,94,0,61,4,31,30,16,341046.9,148840.225,-0.5266307592391968,360533164032.0,408320376832.0,0
154,3389,3569,11,53,0,4347,28,8,16,49,299551.2,93141.18125,-0.5930274724960327,804855545856.0,437083635712.0,0
155,6351,2571,1782,33,3,3841,61,56,1,45,174229.55,79340.825,-0.6214110255241394,10369542127616.0,818128879616.0,0
156,7167,2573,974,33,3,365,83,90,51,61,124221.475,71222.2125,-0.6535102128982544,6247826325504.0,1088934182912.0,0
157,6883,2682,1018,31,60,3139,100,39,91,80,141573.6,59754.9125,-0.7084336280822754,6524862726144.0,2898888491008.0,0
158,37,3557,9,118,3,253,1,5,1,56,373613.3,184804.775,-0.18923141062259674,61750398976.0,415728304128.0,0
159,996,3647,29,1920,0,891,91,85,27,33,152577.05,120434.8125,-0.6750190258026123,354367307776.0,2759284490240.0,0
160,3634,3518,537,52,1,187,98,24,45,48,183375.125,91888.46875,-0.7006637454032898,3388869181440.0,955964915712.0,0
161,1999,3578,6,1843,60,128,68,60,25,85,179055.775,95052.90625,-0.6526860594749451,383375409152.0,4415995510784.0,0
162,207,3580,9,47,32,241,91,71,25,43,185914.4875,169686.8625,-0.384080171585083,90906230784.0,2160635019264.0,0
163,7325,3385,137,723,10,5601,94,93,28,90,108685.0,61333.775,-0.6998705863952637,2180900454400.0,1995178508288.0,0
164,6289,3709,1482,115,0,5069,13,55,24,93,236289.05,69376.9625,-0.5714121460914612,8867546136576.0,606114414592.0,0
165,52,3508,1,1337,43,60,53,64,55,39,235618.875,172185.775,-0.29279351234436035,16360960000.0,3372506152960.0,0
166,306,3534,8,1061,16,251,83,20,23,62,230972.725,143172.45,-0.45796364545822144,103384973312.0,2257247797248.0,0
167,5084,2785,810,47,13,6489,88,98,44,89,113578.6625,67555.8625,-0.6909966468811035,5268941832192.0,1520926982144.0,0
168,1890,3462,17,118,63,1020,27,85,27,84,196291.2,98704.40625,-0.5878648161888123,453260771328.0,2875908423680.0,0
169,7021,2682,202,32,3,3074,36,5,94,16,246200.0,77493.5125,-0.6031922698020935,2368595296256.0,528935911424.0,0
170,1048,3457,6,31,4,89,42,27,32,42,261788.1,137295.3625,-0.5284623503684998,216402542592.0,718372012032.0,0
171,8151,3457,1989,16,0,129,88,89,41,37,127137.45,74149.00625,-0.6860721111297607,11607312695296.0,997118509056.0,0
172,7342,3546,520,93,2,5062,29,8,5,36,254280.9,78810.775,-0.5957286357879639,4125156704256.0,497056219136.0,0
173,768,3578,1,1929,51,4947,80,87,36,36,147483.625,116455.4125,-0.6101486682891846,319279988736.0,4326742032384.0,0
174,959,3591,22,1222,43,2,95,38,47,90,177773.8375,99731.875,-0.6591664552688599,279655677952.0,3449064783872.0,0
175,1189,3457,18,960,57,15,100,84,45,40,132502.4125,120248.0,-0.6815716624259949,299688329216.0,3824923181056.0,0
176,976,3346,6,1794,4,176,80,78,27,37,162645.675,131786.4875,-0.5738470554351807,207042576384.0,2657955348480.0,0
177,3271,3465,10,57,92,4173,4,55,47,86,242836.675,81277.3875,-0.5529341101646423,772846714880.0,3484689367040.0,0
178,48,3570,1,17,4,242,23,52,38,38,299713.9,194477.9125,-0.09127423912286758,22303997952.0,705866235904.0,0
179,200,3339,6,47,7,770,5,24,26,42,345786.6,183615.275,-0.12115714699029922,93625606144.0,587517132800.0,0
180,39,3525,6,1089,4,902,90,4,27,70,241388.95,141867.9875,-0.41483744978904724,70414082048.0,1877811265536.0,0
181,1995,3512,17,1342,84,2,61,38,87,88,207489.525,86368.5375,-0.6422291994094849,434402525184.0,4659915259904.0,0
182,546,3570,23,1089,52,109,94,70,42,80,157690.6375,116523.7875,-0.5518254637718201,216783994880.0,3744541179904.0,0
183,433,3522,25,185,9,894,42,65,34,41,224163.85,142646.55,-0.42959317564964294,235989745664.0,1163447894016.0,0
184,3185,3581,54,24,4,3682,53,26,32,22,220690.55,98734.73125,-0.6282639503479004,965244289024.0,711332331520.0,0
185,975,3573,9,1007,27,221,99,91,32,42,127535.4875,121940.5625,-0.6651873588562012,223870074880.0,2899943882752.0,0
186,7409,3075,821,82,1,3098,20,8,9,35,272931.95,80687.08125,-0.5800253748893738,5606295470080.0,404259766272.0,0
187,3137,3077,2,69,12,2898,95,92,45,36,119304.275,94441.35,-0.6978534460067749,662047948800.0,1503293079552.0,0
188,311,3523,9,1071,49,881,91,48,22,84,186901.0625,122947.675,-0.4876868426799774,132357750784.0,3517534961664.0,0
189,4597,3513,25,1950,87,144,75,63,58,86,157137.75,72867.46875,-0.6645320057868958,933498716160.0,5379884318720.0,0
190,56,3338,6,47,4,1011,5,62,6,42,303157.6,191842.1,-0.06367115676403046,77349756928.0,637757947904.0,0
191,7984,2619,1782,33,2,4089,2,24,29,55,268575.175,74309.325,-0.5393388271331787,10662861340672.0,371668156416.0,0
192,49,3525,6,841,8,1022,26,27,32,73,295301.15,143596.05,-0.3089805543422699,76532482048.0,1487529574400.0,0
193,176,3572,7,418,8,129,2,24,38,58,333460.55,159664.825,-0.2818847894668579,71184007168.0,949026750464.0,0
194,929,3578,54,119,3,285,14,29,62,39,287241.6,128913.1625,-0.5094239115715027,448597131264.0,602079887360.0,0
195,816,3556,42,81,0,61,11,24,9,28,350429.55,154051.0,-0.468187540769577,359314554880.0,416953892864.0,0
196,975,3573,9,1839,60,318,100,60,31,42,153907.175,120495.8625,-0.667727530002594,227408625664.0,4588727959552.0,0
197,6193,2570,537,58,0,4348,34,55,14,45,218627.55,81264.9375,-0.5794077515602112,3986132566016.0,618172121088.0,0
198,4085,3554,9,25,4,3970,58,5,30,9,230325.6,95901.23125,-0.6350629329681396,902022430720.0,651487477760.0,0
199,7414,3852,821,93,1,5093,27,15,30,47,255471.025,74826.65,-0.592613160610199,5679941681152.0,504791826432.0,0
200,46,3578,1,126,16,67,61,90,7,58,201295.1375,178746.55,-0.30321773886680603,15571840000.0,1609523396608.0,0
201,823,3563,21,209,0,317,23,28,31,22,318072.5,145325.3,-0.5006002187728882,262352011264.0,621419429888.0,0
202,6915,2970,1645,73,2,3136,24,76,91,52,193902.4875,70851.65,-0.5876139998435974,9740564299776.0,724613070848.0,0
203,55,3557,6,1922,36,896,68,60,22,41,212301.4,155920.1625,-0.3910975456237793,72980480000.0,3690997481472.0,0
204,32,3522,1,1230,3,186,85,8,4,69,255370.125,162453.2375,-0.3501586318016052,17475840000.0,1947358986240.0,0
205,934,3461,6,959,3,98,18,27,3,38,287759.8,140580.225,-0.48134130239486694,196885725184.0,1312201244672.0,0
206,58,3468,9,777,21,252,13,63,57,59,278261.8,163477.675,-0.21627892553806305,65369604096.0,1932318212096.0,0
207,3628,3361,806,43,2,6489,1,96,45,48,203045.675,90834.8375,-0.551590085029602,4995001352192.0,635288551424.0,0
208,7139,3647,501,115,0,7228,60,87,24,34,156540.3125,76000.8375,-0.6475531458854675,4071554547712.0,907800608768.0,0
209,1264,3090,8,45,6,3963,16,7,39,59,301562.275,111485.525,-0.4688761830329895,405567373312.0,569003278336.0,0
210,780,3462,1,33,4,75,4,84,37,40,243156.2,150566.925,-0.38074740767478943,143638380544.0,726680600576.0,0
211,7176,3810,1014,88,18,4493,82,34,45,90,164256.6625,60941.7375,-0.6802349090576172,6604780994560.0,1479952039936.0,0
212,6320,3466,7,421,15,126,26,5,38,42,262309.725,82972.025,-0.5860186219215393,1140622098432.0,1201676484608.0,0
213,1003,3647,93,96,15,7356,98,88,100,95,121495.225,77580.46875,-0.6968922019004822,919109042176.0,1763362471936.0,0
214,7952,3381,974,99,6,3321,18,91,59,42,182989.8,72971.825,-0.5775692462921143,6492314927104.0,846321549312.0,0
215,1997,3570,22,58,15,3851,45,43,14,61,217767.85,98466.6125,-0.6182486414909363,600762220544.0,1162599333888.0,0
216,54,3562,9,30,3,254,2,58,1,43,315190.6,200700.4875,-0.07241357117891312,64746246144.0,563144032256.0,0
217,7942,3941,820,33,61,4145,98,36,27,91,143867.825,59814.09375,-0.7046521902084351,5732152901632.0,2894397702144.0,0
218,7372,3333,1009,31,1,769,14,27,5,25,262663.5,86605.525,-0.5669068098068237,6477451886592.0,371567296512.0,0
219,40,3557,6,46,35,888,68,59,27,74,223620.95,154747.7875,-0.28586921095848083,70077440000.0,2089918136320.0,0
