,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx,seed_number
0,3712,3214,794,407,10,3962,99,90,4,50,113871.6,87989.78125,-0.7072023749351501,4855997923328.0,1728886079488.0,0
1,7381,3541,934,178,3,4475,75,45,20,29,165777.2375,75536.1375,-0.6689918637275696,6230213394432.0,975328968704.0,0
2,4532,2774,45,1954,14,3520,93,12,97,92,175942.9625,63956.39375,-0.6984741687774658,1147739963392.0,3008631930880.0,0
3,6192,3469,9,1080,47,7939,95,69,90,37,127412.15,69790.625,-0.7026401162147522,1413598150656.0,3397941985280.0,0
4,7556,2905,584,96,14,4415,90,3,100,91,176946.3375,55776.16875,-0.6938039064407349,4466487590912.0,1346052292608.0,0
5,4235,3657,81,1118,85,14,75,63,87,70,158582.875,76041.43125,-0.6646324992179871,1152459603968.0,4594450038784.0,0
6,1850,3195,519,614,46,2286,99,88,69,43,121796.0875,98067.975,-0.706946849822998,3062721675264.0,3135520112640.0,0
7,1846,3407,5,340,10,7962,66,17,7,35,221462.85,108970.5125,-0.65557461977005,637405495296.0,1245155950592.0,0
8,4149,3119,79,41,17,280,94,16,84,63,179387.675,81228.48125,-0.6912139654159546,1136952475648.0,1439538085888.0,0
9,4155,3336,81,44,17,180,80,51,32,92,165529.9,78773.0,-0.6684332489967346,1144588730368.0,1482515546112.0,0
10,4426,3430,101,608,9,3521,96,0,7,60,182641.4,79772.3375,-0.7021167278289795,1416044216320.0,1583141486592.0,0
11,1872,3469,10,1080,47,195,47,69,90,91,191915.85,86211.49375,-0.620276153087616,384191365120.0,3273077030912.0,0
12,2836,3336,16,464,17,1874,68,68,35,64,165814.975,89497.05625,-0.656097948551178,643974299648.0,1804625117184.0,0
13,7349,3114,437,434,51,4403,95,69,95,43,125896.8875,65783.725,-0.7015866041183472,3677374906368.0,2968243929088.0,0
14,6316,2788,49,34,10,7231,66,21,19,24,198310.3625,81393.46875,-0.6524584889411926,1614156398592.0,953304023040.0,0
15,7579,2905,567,31,9,5855,66,23,91,88,190510.225,58538.69375,-0.6552703976631165,4435982942208.0,1037970046976.0,0
16,8128,3983,201,1477,44,7139,95,90,92,37,110261.9625,64889.80625,-0.702096700668335,2704473063424.0,3687676641280.0,0
17,6799,3011,502,1298,19,3133,97,40,69,89,144100.0125,59797.9875,-0.7036041021347046,3868101967872.0,2672993501184.0,0
18,7671,3327,890,262,9,1001,89,69,31,95,131724.1875,62324.3,-0.6875772476196289,5928684879872.0,1481169698816.0,0
19,5348,3432,18,28,40,1068,69,3,44,72,213282.425,75801.91875,-0.6487017273902893,1062100664320.0,1960505901056.0,0
20,7605,2778,684,108,9,463,90,2,27,99,180707.5375,62975.875,-0.6884897351264954,4842849304576.0,1171664404480.0,0
21,1872,3469,9,1080,47,195,32,69,90,91,207568.725,87262.9625,-0.5963225960731506,379071365120.0,3184851419136.0,0
