,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx
0,8083,3823,1,1684,23,1432,95,70,63,99,6047.15859375,87926.175,-0.8944181799888611,1464447926272.0,3209738846208.0
1,7837,3838,4,716,20,5025,49,57,0,100,5864.273046875,86470.75625,-0.8952112793922424,1568056803328.0,1950486888448.0
2,321,468,36,8,0,37,3,8,0,88,9259.0328125,120168.6125,-0.3086887001991272,241549459456.0,302975221760.0
3,8673,2329,2,1075,47,4893,55,59,72,100,5811.44453125,85452.375,-0.9016937613487244,1698532294656.0,3193222463488.0
4,5729,2560,22,8,7,1911,13,52,39,100,6429.48125,95311.675,-0.7635782361030579,1179657699328.0,734030856192.0
5,3673,3562,39,10,1,1309,28,10,24,100,6777.590625,100466.05,-0.6267552971839905,886828040192.0,504236867584.0
6,3260,3578,11,61,2,1693,36,12,33,100,6790.35625,100271.925,-0.6184595823287964,685581336576.0,637414539264.0
7,4670,3799,4,435,10,103,38,49,55,99,6892.996875,100202.1125,-0.7056018710136414,837191008256.0,1350393266176.0
8,7836,3609,2,1309,42,2053,67,50,39,99,6035.9390625,88139.9375,-0.8898491859436035,1449224306688.0,3268469587968.0
9,2177,3613,3,1358,15,3450,8,48,3,99,6871.38125,100964.95,-0.5908640027046204,520188100608.0,2122529243136.0
10,7199,3562,4,1054,3,1165,4,54,35,98,6317.584765625,91888.79375,-0.8649917244911194,1316180983808.0,1450254532608.0
11,7643,3622,4,114,8,103,41,49,55,98,6424.02578125,92764.375,-0.8665890693664551,1354730831872.0,1007936864256.0
12,7681,3656,3,436,10,3431,25,41,8,99,5990.340625,87876.8375,-0.8887996673583984,1477631016960.0,1207051747328.0
13,4061,3623,11,252,0,1821,35,48,36,100,6503.49921875,97418.08125,-0.6828396320343018,829688971264.0,879611412480.0
14,7779,3606,0,509,36,2939,76,60,55,99,5992.953515625,87644.81875,-0.8912875652313232,1461383331840.0,2470456852480.0
15,5816,3694,5,1512,4,1799,17,43,52,100,6257.09453125,92698.85,-0.8162575960159302,1103676833792.0,1935050539008.0
16,3930,3556,0,811,62,5366,48,52,72,100,6465.891015625,96156.45625,-0.7054570913314819,879886073856.0,3421509779456.0
17,5496,3610,10,1513,61,3847,17,35,15,100,6226.91015625,92727.575,-0.8016214966773987,1148282339328.0,3728724721664.0
18,2405,3354,3,339,1,1386,7,52,56,93,7685.41328125,108172.725,-0.5426850318908691,484583669760.0,835829760000.0
19,6240,3630,3,1002,3,1977,12,35,36,98,6370.0,93211.81875,-0.8333189487457275,1173740060672.0,1396048134144.0
20,5661,2575,24,28,3,136,13,59,32,99,6831.015625,99564.14375,-0.7207643985748291,1113308397568.0,644719116288.0
21,446,3637,3,60,3,226,3,4,1,100,7604.815625,108382.25,-0.4225437343120575,101244166144.0,430826029056.0
22,8476,3823,3,203,42,3463,46,62,55,99,5891.980078125,85963.76875,-0.9040268659591675,1617192419328.0,2231037067264.0
23,5661,3097,22,7,0,1664,29,43,38,90,7276.4375,101718.8875,-0.7525324821472168,1158809649152.0,590618034176.0
24,7696,3566,0,1741,38,1257,15,58,55,100,6036.93359375,88636.1125,-0.8840448260307312,1385575088128.0,3252109705216.0
25,7,3743,3,883,13,129,3,5,60,93,8444.50859375,114359.0,-0.404197096824646,21284478976.0,1495356145664.0
26,4698,3560,0,1243,63,2933,76,52,55,100,6381.1703125,94755.4625,-0.7578058242797852,924823715840.0,3971808493568.0
27,4320,3602,4,34,1,1274,60,54,44,99,6776.828125,99901.0125,-0.6721717715263367,818981109760.0,877778698240.0
28,4050,3556,12,195,1,2281,60,51,39,100,6508.366015625,97247.725,-0.6916574835777283,849674895360.0,1000019197952.0
