,epsilon_progress,nfe
0,0,0
1,39,100
2,343,1198
3,557,2292
4,732,3388
5,877,4483
6,1030,5573
7,1141,6668
8,1271,7762
9,1409,8858
10,1529,9956
11,1550,12678
