,epsilon_progress,nfe
0,0,0
1,44,100
2,361,1198
3,642,2295
4,828,3295
5,1006,4393
6,1154,5489
7,1305,6587
8,1454,7587
9,1619,8684
10,1779,9779
11,1815,12875
