,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx
76,6235,3445,18,178,5,6084,91,70,54,15,132042.975,77917.4375,-0.6955163478851318,1399492968448.0,1207192387584.0
77,3231,2927,945,10,2,5310,73,32,46,8,198538.9375,103653.475,-0.665644109249115,5594561380352.0,768341835776.0
78,6019,2179,3,165,22,6111,94,40,8,79,155908.025,77486.6375,-0.5342315435409546,1286077022208.0,1739841470464.0
79,142,3842,3,714,21,889,66,81,37,18,181555.7,146521.85,-0.4851503074169159,72510087168.0,2193107976192.0
80,7536,3898,1402,63,2,6347,42,43,43,15,206152.3375,78204.20625,-0.6171526312828064,8721646223360.0,643199795200.0
81,1092,3842,86,85,0,1207,27,6,40,9,330669.45,130076.8875,-0.5909729599952698,674446704640.0,419430072320.0
82,7908,3120,11,1572,26,1950,100,88,47,52,107736.825,67605.31875,-0.7064826488494873,1504080560128.0,3220993474560.0
83,421,3383,6,809,6,6229,25,83,55,84,216873.85,115819.425,-0.40511059761047363,331241619456.0,1625069322240.0
84,7315,3760,1006,10,4,1801,97,20,9,46,159747.45,73258.81875,-0.700153112411499,6489816170496.0,939542052864.0
85,7210,3735,105,218,1,7117,9,26,19,80,266181.8,70732.0,-0.5645041465759277,2052345036800.0,580573134848.0
86,4768,2415,16,213,3,824,31,4,78,23,268490.7,97506.25,-0.48940274119377136,941992837120.0,660494614528.0
87,6879,3265,87,32,4,330,16,63,42,9,218138.825,89896.23125,-0.5656302571296692,1654974840832.0,587655348224.0
88,1723,3065,35,246,1,7731,44,84,25,73,189548.4875,100393.8375,-0.6013861894607544,761166626816.0,1071066710016.0
89,139,3861,1,313,56,1036,69,82,6,8,178743.05,155634.875,-0.49328798055648804,67110404096.0,3004865445888.0
90,1028,3966,97,5,0,717,6,26,8,47,335625.75,126659.3125,-0.5488104820251465,701750378496.0,344180654080.0
91,7909,3120,11,1572,26,1950,100,91,47,52,105659.7875,67603.7375,-0.7064815163612366,1504254623744.0,3229151657984.0
92,7304,3842,217,86,4,2945,21,62,30,15,209812.925,82173.15,-0.5813699960708618,2489954074624.0,654529396736.0
93,7018,3655,0,1465,9,1934,98,39,56,32,145617.7625,72756.8125,-0.703345775604248,1292245663744.0,2421576695808.0
94,7674,3454,779,479,27,7264,100,84,44,51,109933.1375,66656.53125,-0.7100356817245483,5589360443392.0,2293495496704.0
95,379,3127,1,294,1,1036,58,82,6,11,219208.725,181259.025,-0.3264217674732208,108889604096.0,1143783817216.0
96,553,3677,23,852,63,1033,65,42,14,93,209472.125,105685.275,-0.5429459810256958,251710046208.0,3600584015872.0
97,655,3775,30,9,2,1546,1,20,10,28,322870.3,138202.5,-0.44864192605018616,324020469760.0,315321876480.0
98,1988,3321,28,850,1,2321,29,39,46,84,253027.275,90984.1875,-0.5942863821983337,574101192704.0,1342294720512.0
99,4943,2411,21,278,2,1270,33,16,45,40,256733.475,93645.2375,-0.49371790885925293,1014327017472.0,741389500416.0
100,3215,3153,1,7,25,7070,89,39,55,8,169712.025,99442.425,-0.6861417293548584,822700933120.0,1630594662400.0
101,3559,2972,870,7,2,5225,30,42,81,5,234977.025,99980.05625,-0.5971857905387878,5264559308800.0,553558867968.0
102,6861,2792,145,101,0,1394,11,6,94,78,299018.9,68893.25,-0.566313624382019,1987616309248.0,434965512192.0
103,7082,2841,1,373,60,5705,97,89,30,48,110349.3375,70587.8375,-0.7050422430038452,1446072811520.0,3254443311104.0
104,7524,3280,771,53,1,5685,26,44,14,5,229721.975,84901.6,-0.5912339687347412,5464685805568.0,490251681792.0
105,6956,3872,81,52,3,2966,9,79,58,10,206193.9625,83111.9375,-0.5600293874740601,1733820153856.0,585469198336.0
106,3251,3726,21,1578,2,1809,93,20,11,63,180327.675,86487.60625,-0.6954531073570251,739446620160.0,2255004368896.0
107,4524,3084,152,994,13,5896,100,42,66,27,147233.325,82294.5375,-0.7101870179176331,1780863991808.0,2180060545024.0
108,7691,3830,22,1578,49,5897,98,89,54,82,107335.4875,59734.69375,-0.7062944769859314,1666611675136.0,3990316908544.0
109,6916,3333,999,8,3,2822,86,21,13,44,172261.25,74272.59375,-0.6840658783912659,6421762539520.0,843493539840.0
110,5093,3320,42,546,62,1996,90,35,13,76,160943.1875,73983.7375,-0.6907534003257751,1174443524096.0,3325244997632.0
111,1115,3298,14,142,3,2381,97,86,57,19,131683.6875,117479.4,-0.6422396302223206,352638042112.0,1293172998144.0
112,139,3848,1,565,15,1814,75,40,45,87,204487.0125,108101.775,-0.5160470008850098,95491842048.0,1846968582144.0
113,1608,3184,33,202,18,280,68,36,46,53,210569.65,114560.425,-0.6391475796699524,459095015424.0,1530264158208.0
114,3236,3280,0,202,4,2425,23,44,18,9,239365.25,108703.7375,-0.584445595741272,651786977280.0,723746029568.0
115,598,3788,118,5,5,1850,25,7,9,8,297631.55,139746.05,-0.4929264783859253,775747731456.0,477109878784.0
116,7675,3826,799,139,2,2614,62,33,25,15,193210.625,79029.275,-0.6463155746459961,5522303483904.0,786476695552.0
117,7949,2288,241,26,1,1905,18,33,46,76,253681.2,75909.875,-0.40887537598609924,2687176278016.0,498376278016.0
118,633,3788,0,970,5,1830,5,23,14,87,295936.6,105831.925,-0.4886920750141144,176951066624.0,1354409967616.0
119,7140,3269,1001,9,3,3065,22,18,13,12,251343.9,84700.18125,-0.5823517441749573,6479863087104.0,417160560640.0
120,7403,3355,999,53,1,5325,73,21,12,80,194697.65,66772.20625,-0.6660794615745544,6597849907200.0,792461705216.0
121,5499,2875,903,89,0,6716,62,90,54,12,155730.675,85567.65625,-0.6510485410690308,5825626112000.0,909008633856.0
122,159,3325,2,306,25,776,77,32,45,43,237100.025,160681.2875,-0.34807708859443665,66227200000.0,1896793374720.0
123,6717,3745,16,1140,63,1262,94,74,22,98,123766.7,63340.0625,-0.6958329081535339,1297253138432.0,4016747577344.0
124,7338,2807,402,165,1,6321,98,36,42,75,154554.5125,64235.38125,-0.7068843841552734,3566229258240.0,1089527545856.0
125,996,3773,30,5,3,1229,6,20,8,46,302649.075,126119.65,-0.5340160727500916,371817512960.0,394228760576.0
126,555,3408,8,170,0,2040,70,44,14,98,239749.0,111090.95,-0.49914318323135376,211993575424.0,1056872005632.0
127,8164,3450,999,41,1,5161,73,34,48,15,184122.9,75229.90625,-0.6661227941513062,6724341727232.0,751532310528.0
128,580,3788,0,202,4,3737,26,47,13,18,248303.05,132265.55,-0.519891083240509,237292126208.0,787795148800.0
129,1092,3855,109,10,7,758,25,26,9,19,274544.35,135949.375,-0.5779447555541992,775827161088.0,637197090816.0
130,883,3839,18,502,2,1557,65,43,10,28,209312.025,121854.125,-0.642533540725708,302671953920.0,1217878032384.0
131,7045,3316,126,182,0,5436,33,90,57,19,181509.9625,78875.86875,-0.6046920418739319,2069818769408.0,822316892160.0
132,7539,3902,1290,1,2,1579,82,84,43,12,131628.2875,78491.2625,-0.6762250661849976,7974791675904.0,936016347136.0
133,4636,3075,159,5,2,2826,6,20,18,22,282237.425,96429.075,-0.5525290966033936,1724207464448.0,318026809344.0
134,3331,3952,29,121,2,1545,14,14,22,60,283861.725,93262.2,-0.5678953528404236,784702046208.0,503844864000.0
135,1851,3314,26,378,32,7703,98,92,9,20,120783.175,112579.275,-0.7068491578102112,736347553792.0,2430913740800.0
136,1681,3279,21,87,19,2102,47,39,22,44,224907.525,110593.425,-0.6217110753059387,476829483008.0,1308312338432.0
137,7802,3462,4,1565,17,6056,97,39,54,16,145462.4125,72818.50625,-0.7049636840820312,1599575162880.0,2732080496640.0
138,1125,3834,20,518,28,3895,22,20,18,51,273546.125,109127.8375,-0.5839428305625916,440329535488.0,1761394819072.0
139,6875,2384,41,205,3,3081,1,52,66,19,243608.25,84957.2375,-0.4494471848011017,1519115173888.0,605911318528.0
140,600,3677,15,811,4,1286,37,41,13,82,241446.1,110151.5,-0.5074385404586792,228161290240.0,1445659017216.0
141,8154,2807,10,1301,1,1806,87,27,8,86,173113.2625,65453.6875,-0.6852808594703674,1536530972672.0,1975178493952.0
142,4979,3693,37,344,60,1497,78,74,17,99,142824.55,69650.95,-0.6706649661064148,1110794698752.0,3163576860672.0
143,1178,2827,102,170,0,2503,63,90,22,44,186352.7625,129391.425,-0.4865195155143738,818615615488.0,1131900829696.0
144,7707,3235,920,40,1,1577,10,38,50,3,254482.825,85638.2875,-0.5622974038124084,6109564239872.0,384677609472.0
145,3611,3936,414,38,2,1553,10,1,17,3,302820.35,107313.8875,-0.5609790682792664,2804935819264.0,282669711360.0
146,984,3771,17,233,54,1161,2,26,47,82,293385.35,101289.36875,-0.5402905344963074,300687982592.0,2320681926656.0
147,7369,2798,608,221,0,7158,58,31,86,23,211452.125,73686.075,-0.6452241539955139,4656879108096.0,823543857152.0
148,7259,3596,416,54,4,233,26,47,14,16,221271.95,87462.71875,-0.5854619145393372,3402066296832.0,607671615488.0
149,6906,3263,16,1876,0,2502,95,74,22,92,131550.075,63860.95,-0.70035320520401,1375389483008.0,2663979679744.0
150,223,3314,2,317,24,1815,66,92,53,43,178915.0875,145341.1875,-0.3927488625049591,115271032832.0,2028417581056.0
151,106,3888,21,521,9,2230,48,36,21,51,242707.8,129622.9125,-0.4719456732273102,207322873856.0,1375371526144.0
152,7637,2791,104,666,2,6961,83,99,55,89,115604.75,60206.75,-0.6832339763641357,2115866329088.0,1662235181056.0
153,7371,3943,1116,644,23,6933,99,47,95,79,135434.075,57509.19375,-0.7084915637969971,7249979768832.0,2261303951360.0
154,1415,3905,88,23,2,201,2,27,53,3,308269.25,137567.225,-0.5412253141403198,704215646208.0,350442291200.0
155,7957,2291,238,25,1,6257,29,34,45,73,237931.15,72479.2875,-0.4564046263694763,2831970205696.0,558536392704.0
156,4627,3076,104,202,1,2285,93,7,18,9,199673.5625,95054.34375,-0.696007251739502,1421304922112.0,920924520448.0
157,7536,2878,1381,63,1,6586,29,47,41,19,222190.775,79897.93125,-0.5969437956809998,8622844149760.0,558147436544.0
158,4732,2812,799,53,2,2101,54,83,22,12,165790.625,95708.54375,-0.6336493492126465,4991271043072.0,836139220992.0
159,7076,3844,1001,21,1,1192,28,22,44,24,250725.4,82143.94375,-0.5899369120597839,6400393084928.0,449525022720.0
160,7363,3995,940,132,4,1269,26,47,51,73,216905.15,69435.4375,-0.5877127051353455,6140844310528.0,766684495872.0
161,447,3408,17,246,3,1801,1,20,9,18,324806.9,155659.875,-0.34977754950523376,230554222592.0,535467720704.0
162,7195,3240,20,602,0,2040,70,35,14,83,194525.275,68141.6375,-0.6600655317306519,1429324562432.0,1282226651136.0
163,7532,3834,133,218,2,6963,22,37,20,16,234847.0,81278.6875,-0.5852552652359009,2246141280256.0,633042829312.0
164,6853,3449,1857,165,3,6641,48,7,43,64,227540.15,69477.7625,-0.6271331310272217,10943074402304.0,757165457408.0
165,3388,3775,130,148,54,7061,98,42,64,78,149871.5,72891.2125,-0.7070350050926208,1512968290304.0,2828013666304.0
166,7382,2801,415,217,0,6390,57,3,5,20,241360.25,80780.89375,-0.6428356766700745,3642965622784.0,678369820672.0
167,7045,2417,110,117,4,1834,6,37,13,44,253524.9,84730.3875,-0.4603891968727112,1856498040832.0,550475005952.0
168,844,3856,2,122,29,1545,21,81,5,52,211315.05,118674.5875,-0.5641418099403381,213525118976.0,1681993760768.0
169,6722,3352,201,25,3,3570,46,31,44,47,210404.95,74142.95625,-0.6194323301315308,2329519325184.0,673504952320.0
170,7491,2753,1373,63,1,6598,46,40,43,67,208530.675,68961.2375,-0.6241244077682495,8574489067520.0,699597651968.0
171,7382,2782,1439,34,1,7145,10,32,86,23,258357.1,77214.5125,-0.5673308372497559,8913388830720.0,405264859136.0
172,1668,2831,29,133,7,6167,95,92,40,20,127444.1,117213.925,-0.6367118954658508,663817551872.0,1412632150016.0
173,3666,3852,105,1045,50,6007,100,90,76,39,111705.125,80455.675,-0.709967851638794,1394912657408.0,3586012217344.0
174,7044,3114,161,133,3,2857,2,68,34,6,224737.775,86614.43125,-0.5514097213745117,2154762993664.0,563702071296.0
175,932,3791,16,1930,4,1526,31,53,9,35,231374.15,120834.4,-0.585009753704071,299831099392.0,2350772125696.0
176,2485,3855,21,1802,63,6280,96,92,48,28,118007.775,95084.8,-0.7035834789276123,769203240960.0,4651966005248.0
177,7406,2878,1535,2,2,6935,15,32,90,16,246984.15,77289.91875,-0.5748924016952515,9401426509824.0,427379130368.0
178,7610,3789,791,181,2,2297,58,80,26,18,157786.3375,79236.775,-0.6395736932754517,5458463031296.0,941437353984.0
179,7268,3075,105,21,1,1163,24,22,44,25,259538.65,84099.21875,-0.5788064002990723,1845239742464.0,428765544448.0
180,459,3666,41,682,39,755,79,75,9,85,165803.5625,114975.525,-0.5367748141288757,317365157888.0,2877672652800.0
181,956,3808,31,902,5,1398,96,82,9,67,132059.55,103616.2625,-0.697688639163971,376139612160.0,2033256235008.0
182,3738,2207,19,38,1,1745,38,29,86,7,271241.325,122993.075,-0.3616787791252136,811648679936.0,575956451328.0
183,5596,3867,799,6,2,2857,2,20,18,23,279498.8,88314.65,-0.5495343804359436,5169255284736.0,292816420864.0
184,320,3127,17,217,3,2038,1,83,9,20,260791.25,172862.575,-0.24428798258304596,217091866624.0,771359113216.0
185,4764,2335,0,38,2,2354,41,92,22,8,177392.7625,108197.875,-0.4426175057888031,915191169024.0,783934947328.0
186,7548,3846,1802,6,3,1589,46,43,43,47,199031.225,73279.73125,-0.6196488738059998,10598163152896.0,690110464000.0
187,6946,2238,609,6,2,1815,0,28,38,7,278383.15,96636.2,-0.353899210691452,4393450602496.0,293302403072.0
188,7995,3954,29,410,1,1240,0,4,53,95,299787.2,66702.3125,-0.54592365026474,1585484922880.0,660880556032.0
189,6733,3363,713,30,2,3564,82,96,44,12,122606.4,79268.8875,-0.6789777874946594,4952655659008.0,999588626432.0
190,7221,2547,25,235,3,201,59,3,13,77,221224.8,73606.73125,-0.6010783910751343,1392364224512.0,874060513280.0
191,671,3389,1,269,5,2039,61,44,13,19,218278.475,138550.2125,-0.5030081272125244,196310417408.0,1086523768832.0
192,6733,3431,135,954,10,5621,97,99,52,47,103294.29375,69357.025,-0.7048482894897461,2068334641152.0,2189520273408.0
193,6906,3904,31,1739,56,1478,92,45,80,93,146004.6,58903.425,-0.6933620572090149,1414834028544.0,4230276448256.0
194,8571,2800,29,357,7,7911,94,84,55,23,116110.1375,70272.4125,-0.7009661793708801,1929112977408.0,1478119653376.0
195,7292,3900,26,1797,33,1893,99,91,22,19,108403.4625,77284.825,-0.7045122385025024,1471567757312.0,3594698883072.0
196,7483,2878,734,132,8,6686,67,47,86,65,171064.95,63626.95625,-0.658047616481781,5304625922048.0,1135151546368.0
197,676,3891,6,58,0,1525,58,83,14,17,201477.5125,133477.1125,-0.6094207763671875,204030099456.0,965005737984.0
198,1738,3952,26,130,2,6639,82,92,41,20,137210.225,105849.0,-0.6811641454696655,677861785600.0,1158755909632.0
199,1987,3314,26,245,31,6198,82,95,46,52,130585.6125,96103.43125,-0.68133544921875,705120108544.0,2248391786496.0
200,7844,2849,1054,4,0,7433,2,39,85,23,265386.3,76389.35,-0.5549033284187317,7033119047680.0,326917783552.0
201,2401,3280,18,23,10,3062,61,54,10,12,192503.05,114356.7875,-0.6391182541847229,621827850240.0,1036491620352.0
202,7517,3748,713,17,1,1043,93,96,44,15,115282.475,78935.45625,-0.6925937533378601,4997167710208.0,1035055529984.0
203,8586,3340,274,277,56,6392,99,100,47,20,101044.925,70786.45,-0.7082099318504333,3130711343104.0,3040681132032.0
204,2746,3952,18,1803,56,1977,99,44,79,29,152283.925,89851.9375,-0.7061073780059814,642304638976.0,4296048377856.0
205,6645,3903,24,1738,63,6903,95,93,47,92,107977.825,60219.0875,-0.7018210291862488,1531463204864.0,4587855020032.0
206,3146,3824,29,885,61,6792,96,83,49,24,123481.55,91319.7625,-0.703639805316925,943907799040.0,3745559347200.0
207,6339,2424,958,62,6,1760,95,95,46,63,110247.475,72307.4125,-0.6189316511154175,6072658558976.0,1296139681792.0
208,7483,2878,801,187,8,6592,64,32,85,79,186026.5375,61085.98125,-0.6532498002052307,5644238192640.0,1140444364800.0
209,7812,3361,221,60,1,7882,34,36,42,23,228129.85,77624.9625,-0.6044464707374573,2778968096768.0,557052854272.0
210,7903,2846,794,5,2,1803,2,20,42,16,275661.45,83127.01875,-0.5485135912895203,5506807103488.0,291689431040.0
211,4826,2207,27,37,1,1230,26,25,72,25,278587.1,109143.7,-0.3383086025714874,1023220383744.0,493952204800.0
212,7548,2334,131,32,2,6593,41,87,20,23,171140.9,83230.05625,-0.4929482936859131,2225188634624.0,741902581760.0
213,4763,3322,1054,5,1,6920,2,36,85,8,272097.725,90807.475,-0.5532035231590271,6478065303552.0,335796764672.0
214,5637,3888,28,1802,63,1865,96,44,79,29,146523.95,75370.66875,-0.7004579901695251,1192684290048.0,4463572549632.0
215,7832,2822,993,5,2,6920,2,43,42,16,250443.35,80985.53125,-0.553025484085083,6699995889664.0,361721135104.0
216,6538,3791,225,277,64,6392,99,1,47,100,168864.525,58581.1375,-0.7081289291381836,2523315306496.0,3135741362176.0
217,6971,3342,418,71,0,7689,26,92,56,99,183612.6125,63616.4,-0.5927208065986633,3634166235136.0,796946530304.0
218,332,3400,1,278,3,1035,1,85,6,19,253275.525,169652.9625,-0.30409273505210876,100671356928.0,832306216960.0
219,147,3903,2,797,30,2953,78,87,53,12,158024.9125,134932.4625,-0.543440580368042,143555198976.0,2641905319936.0
220,6965,3751,873,26,0,1330,13,0,16,63,299416.6,77066.8875,-0.5672591924667358,5730745712640.0,300005720064.0
221,7803,3267,29,1797,32,6373,99,100,40,20,101686.24375,73113.375,-0.7082417011260986,1739313643520.0,3587014393856.0
222,7505,3361,1422,25,0,6191,48,32,43,15,221343.05,78617.34375,-0.62798011302948,8812957270016.0,562681348096.0
223,1604,3864,1,326,1,1524,34,93,6,16,190669.4625,122280.0375,-0.6001846194267273,339939852288.0,1024547487744.0
224,511,3120,17,229,1,1929,96,92,15,23,158533.5125,155544.825,-0.4609147310256958,246364766208.0,1370085654528.0
225,845,3891,41,267,60,5992,98,83,59,12,131189.275,114880.175,-0.7047533392906189,575605702656.0,3245411401728.0
