,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx
0,3252,3677,86,855,63,2562,78,11,17,98,199829.8875,75589.525,-0.6726035475730896,1099889901568.0,3525836275712.0
1,3334,3362,18,506,2,6479,9,80,46,67,213442.5,86647.16875,-0.5645692944526672,908896567296.0,1056388481024.0
2,7005,3354,2,24,33,2294,69,93,94,15,136741.8,77132.81875,-0.649766206741333,1313355726848.0,1932498436096.0
3,6756,3313,20,236,9,959,15,22,88,86,254690.9,66958.0625,-0.5701334476470947,1313468710912.0,915969933312.0
4,7550,3735,201,37,0,1522,4,0,95,81,311114.15,66489.825,-0.5526175498962402,2398946590720.0,320948240384.0
5,5947,2251,39,138,3,5812,44,77,15,72,177364.2,80479.10625,-0.4760291874408722,1446955712512.0,920310644736.0
6,1956,3280,45,778,27,5831,96,91,49,17,123002.375,107534.2125,-0.7036859393119812,783615393792.0,2607296020480.0
7,4119,3961,45,417,27,4144,34,27,33,78,233209.4,76758.925,-0.6035411953926086,1098608738304.0,1749702541312.0
8,6821,3266,378,97,0,2424,76,14,4,15,210923.0,83386.1,-0.6702367067337036,3211187716096.0,722379472896.0
9,3256,3974,104,433,14,1242,89,16,16,79,184074.9125,82163.20625,-0.6881333589553833,1144592662528.0,1639607435264.0
10,6500,3121,14,1075,21,2425,95,37,49,40,151050.425,73203.24375,-0.6994478106498718,1291663966208.0,2456190451712.0
11,7000,2990,78,56,5,5344,87,1,45,21,186318.8,75843.2,-0.6874441504478455,1812869021696.0,884765753344.0
12,886,3893,0,1478,25,1921,37,39,56,15,239302.475,119586.6375,-0.6044984459877014,224312950784.0,2629512986624.0
13,868,3280,3,53,4,5880,24,44,49,9,257669.35,134435.35,-0.4556625187397003,380963815424.0,641987248128.0
14,7003,3336,110,86,3,4292,29,88,74,63,175328.8125,68506.2125,-0.5962139368057251,1938854248448.0,831535316992.0
15,2716,3139,103,89,1,1068,57,45,8,3,224140.5,125738.5875,-0.6358085870742798,1039121842176.0,754426445824.0
16,2939,2893,120,166,4,2263,70,88,48,8,149569.45,107478.625,-0.6602005362510681,1208575459328.0,1140719616000.0
17,4987,2934,119,456,14,2245,89,24,48,87,170475.5125,68709.325,-0.6900815367698669,1559314694144.0,1694430658560.0
18,6407,2865,152,314,2,3769,83,77,46,71,135052.5625,67759.3125,-0.6818831562995911,2031063924736.0,1277613834240.0
19,6980,2806,912,169,3,5940,97,88,53,63,110508.8,65842.375,-0.7053213119506836,6101209710592.0,1276662775808.0
20,6555,3953,9,239,21,3119,55,23,94,71,205392.0,64450.325,-0.6364144086837769,1300955529216.0,1521003528192.0
21,839,3942,80,70,8,525,85,0,21,48,227135.6,120978.6375,-0.6779056787490845,574805114880.0,1043536936960.0
22,4764,3860,17,1560,34,4327,62,1,53,88,220088.15,68003.7,-0.6485592722892761,1074205949952.0,3064390483968.0
23,6388,3078,97,317,3,2745,77,79,22,3,140591.425,85327.36875,-0.6709092855453491,1708800868352.0,1177492914176.0
24,1924,2995,100,212,4,2272,91,87,33,52,131049.5,101653.625,-0.6883065104484558,929812381696.0,1371946745856.0
25,2648,3492,73,312,1,2862,62,15,52,22,239025.975,102023.4875,-0.6476650238037109,939129634816.0,901971181568.0
26,6748,3308,20,659,9,1983,98,6,55,41,169532.6,72181.5125,-0.7035118341445923,1349431590912.0,1646255669248.0
27,267,3859,1,536,26,4072,51,85,22,72,181374.8,113650.0625,-0.5142048597335815,200145944576.0,2172942024704.0
28,4797,2320,22,674,3,817,23,7,94,86,272828.875,79575.7875,-0.433695912361145,977506009088.0,1110745022464.0
29,6994,2801,622,170,3,1864,98,88,53,72,110052.5375,65609.7,-0.7034594416618347,4470153412608.0,1298123718656.0
30,839,3872,0,53,9,7666,27,35,53,8,255727.85,122690.525,-0.5815731287002563,425708814336.0,786772983808.0
31,1643,3854,22,38,29,5968,36,22,89,80,247527.775,83248.59375,-0.6046520471572876,616366080000.0,1529465536512.0
32,819,3270,7,714,29,5257,94,87,53,76,134804.55,102247.1,-0.579160213470459,370186944512.0,2697491120128.0
33,2655,3355,72,719,6,2209,97,8,48,9,188091.875,104159.55625,-0.703180730342865,911406661632.0,1580094455808.0
34,867,3427,30,165,1,2866,41,96,76,28,186724.7375,119907.1,-0.5260811448097229,409079054336.0,1016517492736.0
35,7544,3974,214,42,0,1288,58,15,40,81,229184.65,67251.725,-0.6384580731391907,2455925948416.0,676610441216.0
36,1013,3277,24,249,26,5822,76,33,31,72,201199.55,103652.15,-0.5868232846260071,511609667584.0,1876418101248.0
37,924,3890,46,49,4,2306,6,18,57,18,298967.55,120400.4125,-0.5524332523345947,480492847104.0,442505789440.0
38,36,3833,22,1962,29,1942,93,43,11,64,187350.3,127854.825,-0.5176399350166321,189751033856.0,3594826547200.0
39,6852,2974,206,55,4,6903,59,13,43,88,208796.45,64100.8875,-0.6441172957420349,2499337519104.0,807289356288.0
40,5607,3323,102,22,5,3308,1,39,51,5,258713.675,90586.61875,-0.5458343029022217,1618982469632.0,450169176064.0
41,3336,3234,28,454,6,7089,10,86,46,99,202613.3,77254.9125,-0.5665134191513062,982697639936.0,1202128551936.0
42,6267,3956,3,660,21,5921,90,40,57,72,152506.725,64774.6875,-0.6936542391777039,1322317381632.0,2120290009088.0
43,4168,2929,41,377,20,2361,33,27,33,74,237528.1,81609.65625,-0.60087651014328,1021614620672.0,1481871196160.0
44,1608,2959,90,197,5,3805,91,91,62,50,129144.325,101655.2,-0.6470122933387756,879527133184.0,1423386607616.0
45,1179,3318,16,441,4,3879,73,40,16,51,196788.0875,110839.925,-0.616794228553772,428666257408.0,1295003418624.0
46,5276,3067,14,986,10,5926,92,88,11,79,117374.025,71418.025,-0.6969254612922668,1206306603008.0,2196283326464.0
47,774,3734,81,57,15,1549,89,27,37,48,192955.4,112236.375,-0.6463751792907715,605965451264.0,1386100293632.0
48,6350,3313,866,310,5,6317,98,95,10,72,105038.6625,68566.5,-0.7064520120620728,5769772662784.0,1482457088000.0
49,6862,3431,182,26,0,1522,10,0,44,62,308325.025,75989.075,-0.5610005855560303,2181899354112.0,295769276416.0
50,6708,2841,0,1394,62,2193,97,68,22,75,125498.85,67680.4375,-0.7021960616111755,1247729287168.0,4176691855360.0
51,176,3859,2,260,28,3177,70,47,86,10,205053.2,130784.175,-0.5299497842788696,156775038976.0,1923786735616.0
52,5500,2883,1924,70,1,7123,33,40,11,79,228258.25,75835.50625,-0.602974534034729,11068168470528.0,638288527360.0
53,7588,3712,234,10,4,886,25,36,22,13,231911.15,85675.075,-0.5810383558273315,2551320674304.0,529351868416.0
54,7716,2887,785,33,9,5238,34,82,43,95,174684.175,62873.15625,-0.6040775775909424,5553483939840.0,1010417139712.0
55,179,3289,2,267,26,3177,65,80,54,17,195635.3625,157893.925,-0.3877227008342743,157297278976.0,1967417458688.0
56,132,3895,15,52,6,5829,22,23,48,86,284119.875,109347.7875,-0.4323192238807678,312420466688.0,717766262784.0
57,115,3856,44,514,3,1817,75,83,9,12,169374.7125,148199.1625,-0.5087387561798096,311583342592.0,1460135264256.0
58,6864,3294,430,54,3,2546,17,3,53,57,270221.475,73502.025,-0.5748777985572815,3489363132416.0,462787575808.0
59,1828,3280,208,10,2,5817,56,82,47,8,175476.775,115949.8875,-0.635591447353363,1595382169600.0,862353096704.0
60,972,3789,102,937,0,1613,31,3,31,97,314317.325,94752.7625,-0.5913261771202087,750288044032.0,1276042805248.0
61,7027,3966,937,85,0,1864,98,7,40,81,184333.5875,64420.60625,-0.7044358253479004,6088699150336.0,925021044736.0
62,6733,3209,97,165,59,6089,98,89,57,63,108920.8125,65677.3875,-0.7067657709121704,1890847293440.0,3077746196480.0
63,7526,2569,273,213,3,1288,37,83,53,72,173200.625,70002.775,-0.5776330828666687,2754871820288.0,974346387456.0
64,7504,3267,494,42,3,1545,33,8,42,79,245037.9,68592.5125,-0.5984543561935425,3891937673216.0,584471281664.0
65,137,3970,82,506,7,1527,90,46,53,79,178967.925,105525.6375,-0.5689935684204102,499393855488.0,1642248798208.0
66,932,3788,17,10,4,1270,25,21,9,18,281274.0,137213.975,-0.559524655342102,295612219392.0,517162696704.0
67,7172,3842,225,117,3,3393,6,33,25,12,254610.7,84098.8375,-0.5580111145973206,2524278685696.0,468747452416.0
68,7028,3305,100,55,7,2818,54,26,48,23,206435.15,78504.7375,-0.6323201060295105,1838234992640.0,830664736768.0
69,7545,3261,131,33,6,2999,12,73,37,19,208368.65,81599.21875,-0.5640522241592407,2093557088256.0,663197450240.0
70,6869,3480,103,581,10,6966,98,99,55,33,102712.4875,71476.375,-0.7068703174591064,1977235537920.0,1854950998016.0
71,844,3746,46,5,0,1777,37,12,42,81,314886.65,102204.71875,-0.5711628198623657,447268454400.0,546179678208.0
72,5115,3322,230,9,3,5006,25,42,12,12,229973.0,92451.2875,-0.5857384204864502,2250638360576.0,514382200832.0
73,939,2875,0,882,7,1161,25,26,9,75,287074.65,133069.0,-0.35909974575042725,205814398976.0,1465330434048.0
74,5197,2831,97,186,60,6070,98,89,33,55,111912.4,75651.325,-0.7068624496459961,1622767042560.0,3134704320512.0
75,887,3318,25,263,25,2826,21,64,40,83,231935.525,105082.3,-0.469445139169693,385501429760.0,1659478867968.0
